"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","1,823.80","1,806.40","1,846.80","1,806.40","3.51M","1.98"
"Feb 23, 2018","1,788.40","1,800.00","1,814.80","1,766.00","4.41M","-0.64"
"Feb 22, 2018","1,800.00","1,755.00","1,806.00","1,700.00","8.45M","0.19"
"Feb 21, 2018","1,796.60","1,744.20","1,813.40","1,735.80","8.98M","3.26"
"Feb 20, 2018","1,739.80","1,729.00","1,746.20","1,711.00","4.76M","0.72"
"Feb 19, 2018","1,727.40","1,761.00","1,768.60","1,720.00","3.57M","-1.21"
"Feb 16, 2018","1,748.60","1,740.60","1,752.80","1,722.00","5.68M","1.31"
"Feb 15, 2018","1,726.00","1,747.40","1,755.60","1,703.80","5.82M","1.93"
"Feb 14, 2018","1,693.40","1,682.00","1,712.40","1,654.40","5.57M","1.38"
"Feb 13, 2018","1,670.40","1,659.00","1,688.60","1,652.20","3.93M","1.70"
"Feb 12, 2018","1,642.40","1,631.60","1,665.83","1,621.20","4.22M","2.37"
"Feb 09, 2018","1,604.40","1,592.00","1,638.48","1,579.40","5.34M","0.65"
"Feb 08, 2018","1,594.00","1,618.00","1,627.60","1,590.40","5.59M","-2.88"
"Feb 07, 2018","1,641.20","1,666.40","1,670.80","1,624.20","6.98M","0.01"
"Feb 06, 2018","1,641.00","1,584.60","1,695.00","1,572.00","9.79M","-0.76"
"Feb 05, 2018","1,653.60","1,638.80","1,685.60","1,622.80","6.31M","0.34"
"Feb 02, 2018","1,648.00","1,697.80","1,707.60","1,642.20","6.44M","-2.49"
"Feb 01, 2018","1,690.00","1,715.00","1,727.60","1,674.20","4.36M","-1.09"
"Jan 31, 2018","1,708.60","1,716.40","1,732.40","1,697.40","6.00M","-0.45"
"Jan 30, 2018","1,716.40","1,727.80","1,730.80","1,701.60","5.71M","-2.26"
"Jan 29, 2018","1,756.00","1,741.60","1,769.40","1,740.00","3.86M","1.23"
"Jan 26, 2018","1,734.60","1,726.40","1,747.40","1,722.00","3.96M","0.08"
"Jan 25, 2018","1,733.20","1,757.80","1,767.20","1,724.40","4.91M","-0.21"
"Jan 24, 2018","1,736.80","1,731.20","1,759.00","1,727.40","6.35M","0.80"
"Jan 23, 2018","1,723.00","1,786.80","1,790.40","1,712.60","9.32M","-3.86"
"Jan 22, 2018","1,792.20","1,758.20","1,795.40","1,755.20","5.43M","2.06"
"Jan 19, 2018","1,756.00","1,762.80","1,777.80","1,746.60","4.18M","-0.27"
