"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","2,711.00","2,661.00","2,721.00","2,661.00","685.37K","2.50"
"Feb 23, 2018","2,645.00","2,653.00","2,660.00","2,640.00","876.06K","-0.38"
"Feb 22, 2018","2,655.00","2,642.00","2,657.34","2,632.00","741.25K","-0.08"
"Feb 21, 2018","2,657.00","2,647.00","2,668.50","2,643.00","671.95K","0.23"
"Feb 20, 2018","2,651.00","2,643.00","2,652.00","2,629.00","536.41K","0.49"
"Feb 19, 2018","2,638.00","2,651.00","2,677.00","2,638.00","639.57K","-0.90"
"Feb 16, 2018","2,662.00","2,634.00","2,677.00","2,628.00","707.25K","1.60"
"Feb 15, 2018","2,620.00","2,614.00","2,640.00","2,603.00","662.17K","0.23"
"Feb 14, 2018","2,614.00","2,615.00","2,632.00","2,599.00","584.12K","0.50"
"Feb 13, 2018","2,601.00","2,627.00","2,641.00","2,601.00","658.32K","-1.10"
"Feb 12, 2018","2,630.00","2,610.00","2,648.00","2,602.00","731.15K","1.27"
"Feb 09, 2018","2,597.00","2,598.00","2,639.00","2,592.00","768.61K","-0.04"
"Feb 08, 2018","2,598.00","2,650.00","2,661.00","2,598.00","794.05K","-2.59"
"Feb 07, 2018","2,667.00","2,622.00","2,679.00","2,609.00","1.42M","2.22"
"Feb 06, 2018","2,609.00","2,613.00","2,662.00","2,598.06","1.20M","-2.54"
"Feb 05, 2018","2,677.00","2,700.00","2,714.00","2,659.00","1.06M","-1.69"
"Feb 02, 2018","2,723.00","2,739.00","2,748.00","2,720.00","1.36M","-0.73"
"Feb 01, 2018","2,743.00","2,748.00","2,768.00","2,722.00","1.04M","0.37"
"Jan 31, 2018","2,733.00","2,800.00","2,830.00","2,723.67","1.14M","-1.76"
"Jan 30, 2018","2,782.00","2,826.00","2,831.00","2,782.00","825.36K","-1.66"
"Jan 29, 2018","2,829.00","2,852.00","2,857.00","2,818.00","1.07M","-0.91"
"Jan 26, 2018","2,855.00","2,868.00","2,871.00","2,844.00","973.05K","-0.21"
"Jan 25, 2018","2,861.00","2,781.00","2,873.00","2,780.00","2.17M","2.77"
"Jan 24, 2018","2,784.00","2,741.00","2,801.00","2,738.00","1.85M","1.35"
"Jan 23, 2018","2,747.00","2,741.00","2,766.00","2,740.00","2.29M","0.29"
"Jan 22, 2018","2,739.00","2,747.00","2,772.00","2,732.00","657.23K","-0.40"
"Jan 19, 2018","2,750.00","2,755.00","2,772.00","2,729.00","1.56M","-0.18"
"Jan 18, 2018","2,755.00","2,805.00","2,864.00","2,739.00","4.71M","-3.57"
"Jan 17, 2018","2,857.00","2,877.00","2,890.00","2,848.00","1.93M","-1.18"
"Jan 16, 2018","2,891.00","2,897.00","2,905.00","2,861.00","1.70M","2.23"
"Jan 15, 2018","2,828.00","2,832.00","2,862.00","2,823.00","801.99K","0.11"
