"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","1,928.00","1,927.00","1,945.50","1,921.50","167.97K","0.26"
"Feb 23, 2018","1,923.00","1,923.00","1,934.50","1,919.50","710.12K","0.18"
"Feb 22, 2018","1,919.50","1,894.50","1,927.00","1,892.00","411.06K","1.19"
"Feb 21, 2018","1,897.00","1,883.50","1,901.00","1,881.00","525.26K","0.13"
"Feb 20, 2018","1,894.50","1,886.50","1,900.50","1,880.00","435.78K","0.61"
"Feb 19, 2018","1,883.00","1,909.00","1,909.00","1,876.50","440.59K","-1.21"
"Feb 16, 2018","1,906.00","1,892.00","1,910.50","1,890.00","472.58K","1.11"
"Feb 15, 2018","1,885.00","1,886.50","1,894.00","1,873.50","548.74K","0.08"
"Feb 14, 2018","1,883.50","1,884.00","1,891.00","1,876.00","503.43K","0.67"
"Feb 13, 2018","1,871.00","1,886.00","1,892.50","1,869.00","796.17K","-0.98"
"Feb 12, 2018","1,889.50","1,869.00","1,894.50","1,866.50","765.92K","2.00"
"Feb 09, 2018","1,852.50","1,809.50","1,867.00","1,805.00","962.85K","1.81"
"Feb 08, 2018","1,819.50","1,838.50","1,857.50","1,819.50","765.51K","-1.33"
"Feb 07, 2018","1,844.00","1,816.00","1,854.50","1,798.00","731.99K","2.25"
"Feb 06, 2018","1,803.50","1,801.50","1,825.00","1,794.50","1.38M","-2.30"
"Feb 05, 2018","1,846.00","1,847.00","1,857.00","1,833.94","688.18K","-0.43"
"Feb 02, 2018","1,854.00","1,820.00","1,854.50","1,820.00","698.02K","1.56"
"Feb 01, 2018","1,825.50","1,854.00","1,866.50","1,809.00","815.65K","-1.22"
"Jan 31, 2018","1,848.00","1,851.50","1,861.00","1,823.50","905.04K","-0.43"
"Jan 30, 2018","1,856.00","1,877.00","1,892.50","1,853.50","608.89K","-1.49"
"Jan 29, 2018","1,884.00","1,887.50","1,898.50","1,877.50","594.52K","-0.24"
"Jan 26, 2018","1,888.50","1,878.00","1,895.50","1,876.00","864.31K","0.53"
"Jan 25, 2018","1,878.50","1,846.00","1,898.00","1,844.50","1.44M","1.57"
"Jan 24, 2018","1,849.50","1,850.50","1,867.50","1,846.50","748.04K","-0.24"
"Jan 23, 2018","1,854.00","1,873.00","1,874.50","1,847.50","629.96K","-0.62"
"Jan 22, 2018","1,865.50","1,870.00","1,881.50","1,862.00","375.93K","-0.67"
"Jan 19, 2018","1,878.00","1,884.00","1,896.00","1,872.00","706.78K","0.13"
"Jan 18, 2018","1,875.50","1,881.50","1,885.00","1,866.50","504.77K","-0.05"
"Jan 17, 2018","1,876.50","1,884.00","1,897.00","1,868.00","609.58K","-0.27"
"Jan 16, 2018","1,881.50","1,872.00","1,910.50","1,867.00","520.52K","0.70"
"Jan 15, 2018","1,868.50","1,889.50","1,895.00","1,868.50","299.97K","-0.98"
"Jan 12, 2018","1,887.00","1,903.50","1,909.50","1,882.00","613.41K","-0.87"
"Jan 11, 2018","1,903.50","1,906.00","1,913.50","1,887.50","548.93K","-0.13"
"Jan 10, 2018","1,906.00","1,910.00","1,920.00","1,889.50","737.44K","-0.24"
"Jan 09, 2018","1,910.50","1,894.00","1,911.50","1,892.50","476.08K","1.22"
"Jan 08, 2018","1,887.50","1,872.50","1,894.00","1,867.50","559.91K","0.83"
"Jan 05, 2018","1,872.00","1,897.00","1,927.00","1,827.50","1.72M","-2.93"
"Jan 04, 2018","1,928.50","1,931.50","1,937.00","1,914.00","514.57K","0.08"
"Jan 03, 2018","1,927.00","1,943.00","1,952.00","1,917.50","482.20K","-1.10"
"Jan 02, 2018","1,948.50","2,010.00","2,019.00","1,942.50","563.65K","-2.67"
"Dec 29, 2017","2,002.00","1,959.00","2,002.00","1,955.90","309.95K","2.19"
"Dec 28, 2017","1,959.00","1,951.00","1,964.00","1,951.00","203.55K","0.20"
"Dec 27, 2017","1,955.00","1,933.00","1,959.00","1,927.00","368.85K","1.72"
"Dec 22, 2017","1,922.00","1,924.00","1,937.00","1,917.00","131.51K","-0.57"
"Dec 21, 2017","1,933.00","1,921.00","1,937.00","1,900.00","642.88K","0.31"
"Dec 20, 2017","1,927.00","1,942.00","1,955.60","1,835.00","364.51K","-0.57"
"Dec 19, 2017","1,938.00","1,919.00","1,957.00","1,912.00","680.05K","1.41"
"Dec 18, 2017","1,911.00","1,914.00","1,933.00","1,902.00","737.36K","0.21"
"Dec 15, 2017","1,907.00","1,913.00","1,923.00","1,897.00","827.57K","-0.42"
"Dec 14, 2017","1,915.00","1,919.00","1,931.00","1,900.00","600.37K","-0.21"
"Dec 13, 2017","1,919.00","1,890.00","1,929.00","1,835.00","703.06K","1.05"
"Dec 12, 2017","1,899.00","1,855.00","1,903.00","1,854.90","1.25M","2.37"
"Dec 11, 2017","1,855.00","1,847.00","1,863.00","1,835.00","867.58K","0.32"
"Dec 08, 2017","1,849.00","1,842.00","1,864.00","1,836.00","539.36K","0.27"
"Dec 07, 2017","1,844.00","1,891.00","1,899.00","1,842.00","689.29K","-2.59"
"Dec 06, 2017","1,893.00","1,889.00","1,900.00","1,875.00","488.80K","-0.26"
"Dec 05, 2017","1,898.00","1,924.00","1,925.00","1,897.00","397.76K","-1.04"
"Dec 04, 2017","1,918.00","1,920.00","1,932.00","1,911.00","428.69K","0.52"
"Dec 01, 2017","1,908.00","1,917.00","1,923.00","1,902.00","461.46K","-0.78"
"Nov 30, 2017","1,923.00","1,915.00","1,936.00","1,901.00","1.13M","0.10"
"Nov 29, 2017","1,921.00","1,901.00","1,939.00","1,899.00","477.43K","0.79"
"Nov 28, 2017","1,906.00","1,877.00","1,908.00","1,863.00","453.47K","1.71"
"Nov 27, 2017","1,874.00","1,885.00","1,898.00","1,862.00","552.12K","-0.64"
"Nov 24, 2017","1,886.00","1,885.00","1,894.00","1,876.00","542.86K","0.21"
"Nov 23, 2017","1,882.00","1,886.00","1,886.00","1,863.00","332.41K","-0.11"
"Nov 22, 2017","1,884.00","1,873.00","1,901.00","1,864.00","421.40K","0.27"
"Nov 21, 2017","1,879.00","1,886.00","1,891.00","1,877.00","411.77K","-0.32"
"Nov 20, 2017","1,885.00","1,859.00","1,886.00","1,859.00","427.29K","0.32"
"Nov 17, 2017","1,879.00","1,873.00","1,883.00","1,873.00","320.01K","0.21"
"Nov 16, 2017","1,875.00","1,864.00","1,890.00","1,861.00","482.34K","0.81"
"Nov 15, 2017","1,860.00","1,861.00","1,865.00","1,855.00","998.17K","-0.05"
"Nov 14, 2017","1,861.00","1,840.00","1,867.00","1,837.00","461.33K","1.20"
"Nov 13, 2017","1,839.00","1,855.00","1,856.00","1,832.00","343.66K","-0.97"
"Nov 10, 2017","1,857.00","1,863.00","1,864.00","1,846.60","367.59K","0.16"
"Nov 09, 2017","1,854.00","1,850.00","1,860.00","1,840.00","288.17K","0.43"
"Nov 08, 2017","1,846.00","1,851.00","1,851.00","1,834.00","565.56K","0.05"
"Nov 07, 2017","1,845.00","1,864.00","1,906.00","1,840.00","605.37K","-1.02"
"Nov 06, 2017","1,864.00","1,866.00","1,875.00","1,861.00","374.70K","-0.11"
"Nov 03, 2017","1,866.00","1,855.00","1,867.00","1,840.06","737.91K","0.92"
"Nov 02, 2017","1,849.00","1,852.00","1,872.00","1,847.00","665.56K","-0.43"
"Nov 01, 2017","1,857.00","1,925.00","1,934.00","1,857.00","1.88M","-3.48"
"Oct 31, 2017","1,924.00","1,915.00","1,950.00","1,912.06","990.25K","0.21"
"Oct 30, 2017","1,920.00","1,935.00","1,936.00","1,913.82","828.53K","-0.52"
"Oct 27, 2017","1,930.00","1,926.00","1,936.00","1,921.60","534.19K","0.26"
"Oct 26, 2017","1,925.00","1,900.00","1,925.00","1,894.00","624.37K","1.64"
"Oct 25, 2017","1,894.00","1,897.00","1,906.00","1,891.00","672.24K","-0.32"
