"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","2,081.68","2,057.00","2,095.00","2,051.00","37.10K","1.40"
"Feb 23, 2018","2,053.00","2,057.00","2,061.00","2,037.00","940.83K","0.15"
"Feb 22, 2018","2,050.00","2,065.00","2,083.00","2,045.00","1.31M","-1.58"
"Feb 21, 2018","2,083.00","2,059.00","2,088.00","2,049.00","1.06M","0.87"
"Feb 20, 2018","2,065.00","2,029.00","2,071.00","2,019.00","2.38M","2.33"
"Feb 19, 2018","2,018.00","2,039.00","2,046.00","2,009.84","1.14M","-0.64"
"Feb 16, 2018","2,031.00","2,030.00","2,038.00","2,014.00","1.12M","0.54"
"Feb 15, 2018","2,020.00","2,025.00","2,045.00","2,004.00","1.60M","0.75"
"Feb 14, 2018","2,005.00","2,019.00","2,024.00","1,948.39","1.60M","0.53"
"Feb 13, 2018","1,994.50","2,009.00","2,025.00","1,994.50","1.17M","-0.37"
"Feb 12, 2018","2,002.00","1,992.00","2,015.00","1,987.00","1.69M","2.01"
"Feb 09, 2018","1,962.50","1,945.00","1,975.50","1,919.00","3.32M","0.38"
"Feb 08, 2018","1,955.00","2,045.00","2,045.00","1,955.00","2.43M","-4.91"
"Feb 07, 2018","2,056.00","2,022.00","2,071.00","1,998.00","2.99M","2.90"
"Feb 06, 2018","1,998.00","1,966.50","2,039.00","1,940.00","2.97M","-1.82"
"Feb 05, 2018","2,035.00","2,015.00","2,046.00","1,968.50","2.86M","0.05"
"Feb 02, 2018","2,034.00","2,084.00","2,088.00","2,032.00","1.74M","-2.45"
"Feb 01, 2018","2,085.00","2,109.00","2,126.00","2,076.00","1.23M","-0.95"
"Jan 31, 2018","2,105.00","2,118.00","2,130.00","2,086.00","1.96M","-0.19"
"Jan 30, 2018","2,109.00","2,121.00","2,124.00","2,092.00","1.70M","-1.22"
"Jan 29, 2018","2,135.00","2,135.00","2,144.00","2,122.00","3.19M","0.52"
"Jan 26, 2018","2,124.00","2,081.00","2,131.00","2,073.00","2.70M","2.51"
"Jan 25, 2018","2,072.00","2,074.00","2,118.00","2,056.00","3.62M","-0.67"
"Jan 24, 2018","2,086.00","2,143.00","2,146.00","2,086.00","2.98M","-3.07"
"Jan 23, 2018","2,152.00","2,155.00","2,185.00","2,142.00","2.72M","1.08"
"Jan 22, 2018","2,129.00","2,129.00","2,138.00","2,120.00","1.70M","-0.33"
"Jan 19, 2018","2,136.00","2,133.00","2,139.00","2,117.00","2.20M","0.09"
"Jan 18, 2018","2,134.00","2,146.00","2,152.00","2,124.00","1.65M","-0.56"
"Jan 17, 2018","2,146.00","2,140.00","2,168.00","2,127.00","2.24M","0.52"
"Jan 16, 2018","2,135.00","2,111.00","2,136.00","2,106.00","1.90M","1.28"
"Jan 15, 2018","2,108.00","2,110.00","2,112.00","2,094.00","1.49M","0.14"
"Jan 12, 2018","2,105.00","2,075.00","2,113.00","2,074.00","2.16M","1.54"
"Jan 11, 2018","2,073.00","2,058.00","2,103.00","2,052.00","3.12M","0.97"
"Jan 10, 2018","2,053.00","2,039.00","2,053.00","2,014.00","1.63M","0.24"
"Jan 09, 2018","2,048.00","2,020.00","2,051.00","2,019.00","1.66M","1.39"
"Jan 08, 2018","2,020.00","2,020.00","2,036.00","2,006.63","1.53M","0.25"
"Jan 05, 2018","2,015.00","2,025.00","2,025.00","2,004.00","1.14M","-0.20"
"Jan 04, 2018","2,019.00","2,025.00","2,025.00","2,009.00","1.16M","0.75"
"Jan 03, 2018","2,004.00","2,013.00","2,028.00","1,989.00","1.88M","1.93"
"Jan 02, 2018","1,966.00","1,989.00","1,997.00","1,915.00","2.39M","-1.31"
"Dec 29, 2017","1,992.00","1,987.00","1,994.00","1,889.79","825.91K","1.17"
"Dec 28, 2017","1,969.00","1,970.00","1,972.00","1,954.00","773.42K","0.31"
"Dec 27, 2017","1,963.00","1,954.00","1,965.00","1,930.00","1.06M","0.98"
"Dec 22, 2017","1,944.00","1,963.00","1,975.00","1,944.00","582.40K","-1.67"
"Dec 21, 2017","1,977.00","1,972.00","1,979.00","1,955.00","1.59M","0.41"
"Dec 20, 2017","1,969.00","1,950.00","1,979.00","1,889.79","2.52M","0.66"
"Dec 19, 2017","1,956.00","1,950.00","1,973.74","1,939.00","2.62M","0.46"
"Dec 18, 2017","1,947.00","1,909.00","1,949.00","1,902.00","2.92M","2.80"
"Dec 15, 2017","1,894.00","1,921.00","1,926.00","1,889.00","3.41M","-1.46"
"Dec 14, 2017","1,922.00","1,950.00","2,117.00","1,915.00","3.96M","-1.39"
"Dec 13, 2017","1,949.00","2,000.00","2,117.00","1,939.00","8.32M","-5.39"
"Dec 12, 2017","2,060.00","2,089.00","2,118.00","1,939.00","5.01M","2.03"
"Dec 11, 2017","2,019.00","2,030.00","2,038.84","1,992.50","5.87M","0.00"
"Dec 08, 2017","2,019.00","1,988.00","2,024.00","1,974.00","2.75M","2.07"
"Dec 07, 2017","1,978.00","1,998.00","2,007.00","1,975.00","2.86M","0.36"
"Dec 06, 2017","1,971.00","1,950.00","1,978.00","1,937.00","1.46M","0.72"
"Dec 05, 2017","1,957.00","1,960.00","1,971.00","1,948.00","5.56M","0.15"
"Dec 04, 2017","1,954.00","1,940.00","1,978.00","1,940.00","2.39M","2.63"
"Dec 01, 2017","1,904.00","1,904.00","1,947.00","1,884.79","3.21M","0.26"
"Nov 30, 2017","1,899.00","1,922.00","1,932.00","1,891.00","3.14M","-1.56"
"Nov 29, 2017","1,929.00","1,940.00","1,959.00","1,926.00","2.23M","-1.03"
"Nov 28, 2017","1,949.00","1,925.00","1,958.00","1,895.60","2.71M","2.36"
"Nov 27, 2017","1,904.00","1,922.00","1,948.70","1,895.60","1.10M","-0.78"
"Nov 24, 2017","1,919.00","1,919.00","1,928.60","1,904.00","1.19M","-0.21"
"Nov 23, 2017","1,923.00","1,904.00","1,929.00","1,894.00","1.29M","1.21"
"Nov 22, 2017","1,900.00","1,935.00","1,948.70","1,900.00","1.15M","-1.86"
"Nov 21, 2017","1,936.00","1,937.00","1,949.00","1,922.00","2.14M","0.00"
"Nov 20, 2017","1,936.00","1,913.00","1,948.00","1,904.00","1.49M","1.31"
"Nov 17, 2017","1,911.00","1,901.00","1,922.00","1,901.00","1.65M","0.53"
"Nov 16, 2017","1,901.00","1,891.00","1,901.00","1,878.07","1.73M","1.06"
"Nov 15, 2017","1,881.00","1,894.00","1,896.00","1,870.60","952.09K","-0.95"
"Nov 14, 2017","1,899.00","1,898.00","1,920.00","1,892.90","890.50K","0.48"
"Nov 13, 2017","1,890.00","1,921.00","1,921.00","1,882.59","1.88M","-0.94"
"Nov 10, 2017","1,908.00","1,927.00","1,927.00","1,897.00","1.91M","-0.93"
"Nov 09, 2017","1,926.00","1,959.00","1,966.74","1,920.00","1.06M","-2.08"
"Nov 08, 2017","1,967.00","1,952.00","1,967.00","1,944.00","2.00M","1.08"
"Nov 07, 2017","1,946.00","1,970.00","1,976.00","1,945.60","879.10K","-0.87"
"Nov 06, 2017","1,963.00","1,979.00","1,983.00","1,955.00","892.46K","-0.71"
"Nov 03, 2017","1,977.00","1,941.00","1,977.00","1,939.00","1.33M","2.22"
