"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","910.60","909.60","916.80","907.40","861.27K","1.20"
"Feb 23, 2018","899.80","902.60","903.60","892.00","1.93M","-0.27"
"Feb 22, 2018","902.20","891.00","907.40","878.20","3.00M","0.02"
"Feb 21, 2018","902.00","889.40","906.20","887.40","1.97M","0.96"
"Feb 20, 2018","893.40","901.00","901.20","887.20","2.86M","-0.49"
"Feb 19, 2018","897.80","913.80","917.20","896.80","1.47M","-1.84"
"Feb 16, 2018","914.60","938.00","941.80","911.00","2.66M","-1.89"
"Feb 15, 2018","932.20","927.00","946.80","923.40","2.87M","1.77"
"Feb 14, 2018","916.00","894.20","925.80","887.60","4.58M","2.97"
"Feb 13, 2018","889.60","886.80","903.20","885.00","3.13M","0.27"
"Feb 12, 2018","887.20","890.80","902.11","880.60","2.71M","1.28"
"Feb 09, 2018","876.00","873.20","895.40","868.40","3.87M","-0.09"
"Feb 08, 2018","876.80","897.60","901.00","868.60","3.73M","-2.51"
"Feb 07, 2018","899.40","925.20","925.40","895.00","3.34M","-1.45"
"Feb 06, 2018","912.60","885.40","947.40","876.00","5.69M","-0.41"
"Feb 05, 2018","916.40","896.00","924.40","886.20","3.40M","1.66"
"Feb 02, 2018","901.40","931.00","936.60","892.40","3.50M","-2.21"
"Feb 01, 2018","921.80","931.00","934.60","914.20","2.32M","-0.99"
"Jan 31, 2018","931.00","938.40","941.00","928.20","3.37M","-0.49"
"Jan 30, 2018","935.60","934.40","942.20","931.40","2.07M","-1.74"
"Jan 29, 2018","952.20","949.00","957.80","947.20","2.36M","1.19"
"Jan 26, 2018","941.00","946.60","950.20","933.20","2.32M","-0.74"
"Jan 25, 2018","948.00","958.40","961.80","942.80","2.75M","-1.17"
"Jan 24, 2018","959.20","953.00","963.40","944.20","4.76M","-0.81"
"Jan 23, 2018","967.00","997.80","1,003.00","955.40","3.35M","-2.79"
"Jan 22, 2018","994.80","993.40","1,003.00","992.80","1.37M","0.10"
"Jan 19, 2018","993.80","1,002.00","1,009.00","993.80","2.05M","-0.46"
"Jan 18, 2018","998.40","1,001.50","1,010.00","993.60","1.98M","-0.61"
"Jan 17, 2018","1,004.50","1,007.00","1,011.50","1,003.00","1.84M","-0.50"
"Jan 16, 2018","1,009.50","1,030.00","1,030.00","1,000.00","2.39M","-2.79"
"Jan 15, 2018","1,038.50","1,037.50","1,049.50","1,027.00","1.23M","0.63"
"Jan 12, 2018","1,032.00","1,026.00","1,041.00","1,021.50","2.43M","0.58"
"Jan 11, 2018","1,026.00","1,017.50","1,030.00","1,015.08","2.96M","1.13"
"Jan 10, 2018","1,014.50","999.40","1,016.50","996.60","2.60M","1.45"
"Jan 09, 2018","1,000.00","998.40","1,013.50","997.60","3.49M","0.60"
"Jan 08, 2018","994.00","989.40","995.40","980.80","1.67M","1.24"
"Jan 05, 2018","981.80","983.40","988.20","975.20","2.10M","-0.45"
"Jan 04, 2018","986.20","979.40","991.40","976.20","2.25M","1.13"
"Jan 03, 2018","975.20","998.00","999.00","974.00","2.62M","-2.58"
"Jan 02, 2018","1,001.00","1,013.00","1,014.50","984.60","2.27M","-0.40"
"Dec 29, 2017","1,005.00","996.00","1,005.00","993.00","1.17M","1.26"
"Dec 28, 2017","992.50","990.50","998.00","987.00","1.32M","0.81"
