"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","501.20","502.60","503.60","499.00","268.88K","0.08"
"Feb 23, 2018","500.80","504.80","505.80","498.20","6.07M","-0.67"
"Feb 22, 2018","504.20","500.80","504.60","497.10","14.91M","0.32"
"Feb 21, 2018","502.60","499.50","505.20","496.40","7.00M","0.44"
"Feb 20, 2018","500.40","496.10","500.60","494.60","10.53M","1.28"
"Feb 19, 2018","494.10","498.10","498.52","492.90","4.32M","-0.50"
"Feb 16, 2018","496.60","495.60","498.40","493.30","6.70M","0.69"
"Feb 15, 2018","493.20","494.60","498.50","490.80","7.54M","0.37"
"Feb 14, 2018","491.40","501.20","501.20","489.40","9.30M","0.31"
"Feb 13, 2018","489.90","493.40","495.60","489.00","8.37M","-0.73"
"Feb 12, 2018","493.50","494.00","497.20","490.10","9.06M","1.44"
"Feb 09, 2018","486.50","491.70","493.50","484.80","10.98M","-1.40"
"Feb 08, 2018","493.40","496.90","502.40","492.50","12.81M","-1.20"
"Feb 07, 2018","499.40","493.50","501.03","490.20","13.03M","2.11"
"Feb 06, 2018","489.10","490.40","497.60","482.20","16.21M","-3.30"
"Feb 05, 2018","505.80","511.00","511.00","505.79","8.69M","-1.67"
"Feb 02, 2018","514.40","513.00","517.20","510.94","11.56M","0.04"
"Feb 01, 2018","514.20","518.00","521.80","512.00","9.07M","0.19"
"Jan 31, 2018","513.20","518.00","518.00","512.60","9.68M","-0.62"
"Jan 30, 2018","516.40","520.80","523.20","515.60","8.46M","-1.41"
"Jan 29, 2018","523.80","523.00","529.60","522.40","9.78M","0.42"
"Jan 26, 2018","521.60","519.20","522.00","518.20","6.56M","0.35"
"Jan 25, 2018","519.80","521.40","523.00","516.54","11.46M","-0.27"
"Jan 24, 2018","521.20","523.60","527.80","521.00","10.41M","-0.53"
"Jan 23, 2018","524.00","532.00","533.60","521.06","10.20M","-1.21"
"Jan 22, 2018","530.40","532.00","534.60","529.40","11.23M","-0.82"
"Jan 19, 2018","534.80","532.20","537.20","531.60","10.68M","0.49"
"Jan 18, 2018","532.20","528.80","532.60","526.40","8.44M","0.99"
"Jan 17, 2018","527.00","525.00","529.00","524.20","11.40M","0.04"
