"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","4,798.50","4,759.00","4,818.50","4,759.00","720.32K","0.98"
"Feb 23, 2018","4,752.00","4,767.50","4,791.00","4,710.50","1.69M","-0.42"
"Feb 22, 2018","4,772.00","4,795.50","4,936.41","4,769.50","1.99M","-0.57"
"Feb 21, 2018","4,799.50","4,717.00","4,815.00","4,699.00","2.10M","1.64"
"Feb 20, 2018","4,722.00","4,733.00","4,853.67","4,705.75","1.87M","0.20"
"Feb 19, 2018","4,712.50","4,800.00","4,820.50","4,706.00","1.33M","-0.57"
"Feb 16, 2018","4,739.50","4,748.50","4,873.10","4,718.50","2.17M","0.55"
"Feb 15, 2018","4,713.50","4,727.50","4,852.10","4,702.50","1.81M","-2.41"
"Feb 14, 2018","4,830.00","4,835.50","4,867.70","4,780.00","2.69M","-0.01"
"Feb 13, 2018","4,830.50","4,853.00","4,861.50","4,818.50","1.90M","-0.61"
"Feb 12, 2018","4,860.00","4,807.00","4,867.00","4,773.00","1.93M","1.89"
"Feb 09, 2018","4,770.00","4,835.50","4,844.00","4,747.50","2.85M","-1.55"
"Feb 08, 2018","4,845.00","4,795.50","4,912.00","4,765.50","3.16M","1.16"
"Feb 07, 2018","4,789.50","4,760.00","4,841.93","4,705.50","2.94M","1.29"
"Feb 06, 2018","4,728.50","4,642.50","4,826.00","4,544.50","3.61M","-3.23"
"Feb 05, 2018","4,886.50","4,992.00","5,021.00","4,885.50","3.41M","-2.97"
"Feb 02, 2018","5,036.00","4,862.00","5,049.00","4,722.50","3.52M","3.07"
"Feb 01, 2018","4,886.00","4,890.00","4,922.00","4,855.00","2.22M","-0.01"
"Jan 31, 2018","4,886.50","4,983.00","4,992.68","4,874.50","2.13M","-2.54"
"Jan 30, 2018","5,014.00","5,068.00","5,105.00","4,972.50","2.16M","-1.42"
"Jan 29, 2018","5,086.00","5,086.00","5,106.00","5,059.00","1.38M","-0.18"
"Jan 26, 2018","5,095.00","5,012.00","5,100.00","5,010.00","1.93M","1.93"
"Jan 25, 2018","4,998.50","4,963.00","5,070.00","4,943.00","2.27M","0.55"
"Jan 24, 2018","4,971.00","5,079.00","5,094.00","4,965.00","2.45M","-2.55"
"Jan 23, 2018","5,101.00","5,060.00","5,104.00","5,043.00","1.72M","0.93"
"Jan 22, 2018","5,054.00","5,038.00","5,058.00","5,029.00","1.71M","0.22"
"Jan 19, 2018","5,043.00","5,000.00","5,054.00","4,984.50","2.68M","1.25"
"Jan 18, 2018","4,980.50","5,004.00","5,015.00","4,938.50","3.37M","-0.20"
"Jan 17, 2018","4,990.50","5,015.00","5,062.00","4,978.50","2.25M","-1.16"
"Jan 16, 2018","5,049.00","5,142.00","5,155.00","5,035.00","2.45M","-1.58"
"Jan 15, 2018","5,130.00","5,116.00","5,151.00","5,097.00","1.04M","-0.04"
"Jan 12, 2018","5,132.00","5,159.00","5,160.00","5,102.99","1.50M","0.00"
"Jan 11, 2018","5,132.00","5,155.00","5,160.00","5,106.00","1.51M","-0.08"
"Jan 10, 2018","5,136.00","5,143.00","5,168.00","5,090.00","2.18M","-0.54"
"Jan 09, 2018","5,164.00","5,163.00","5,188.42","5,141.00","1.63M","0.21"
"Jan 08, 2018","5,153.00","5,207.00","5,217.00","5,145.10","1.53M","-0.98"
"Jan 05, 2018","5,204.00","5,170.00","5,209.00","5,163.00","1.57M","0.64"
"Jan 04, 2018","5,171.00","5,189.00","5,220.00","5,132.00","1.89M","0.10"
"Jan 03, 2018","5,166.00","5,095.00","5,179.00","5,094.00","2.17M","1.19"
"Jan 02, 2018","5,105.00","5,126.00","5,179.66","4,911.00","2.67M","-0.31"
"Dec 29, 2017","5,121.00","5,049.00","5,179.52","5,031.00","1.56M","2.45"
"Dec 28, 2017","4,998.50","4,951.50","5,061.09","4,937.32","1.18M","1.07"
"Dec 27, 2017","4,945.50","4,958.00","5,028.63","4,940.50","1.24M","0.07"
"Dec 22, 2017","4,942.00","4,913.50","5,041.60","4,897.50","669.03K","0.40"
"Dec 21, 2017","4,922.50","4,867.50","5,011.91","4,672.49","2.64M","1.29"
"Dec 20, 2017","4,860.00","4,882.00","4,967.38","4,853.50","1.61M","-0.56"
"Dec 19, 2017","4,887.50","4,913.50","5,011.91","4,672.49","1.80M","-0.49"
"Dec 18, 2017","4,911.50","4,896.50","4,964.52","4,865.50","1.58M","0.62"
"Dec 15, 2017","4,881.00","4,889.00","4,960.51","4,846.50","3.98M","-0.07"
"Dec 14, 2017","4,884.50","4,911.00","5,011.91","4,672.49","3.67M","-0.82"
"Dec 13, 2017","4,925.00","4,920.50","5,011.91","4,672.49","3.14M","-0.20"
"Dec 12, 2017","4,935.00","4,887.50","4,982.87","4,867.50","3.79M","1.19"
"Dec 11, 2017","4,877.00","4,802.00","4,937.64","4,788.00","3.18M","1.94"
"Dec 08, 2017","4,784.00","4,705.50","4,905.52","4,672.00","2.96M","1.68"
"Dec 07, 2017","4,705.00","4,730.50","4,823.96","4,699.00","1.68M","-0.39"
"Dec 06, 2017","4,723.50","4,714.50","4,781.39","4,691.99","2.32M","0.03"
"Dec 05, 2017","4,722.00","4,730.00","4,905.52","4,700.50","2.20M","-0.48"
"Dec 04, 2017","4,745.00","4,804.50","4,905.52","4,734.50","2.14M","-0.46"
"Dec 01, 2017","4,767.00","4,785.00","4,869.13","4,732.50","2.07M","-0.21"
"Nov 30, 2017","4,777.00","4,869.00","5,109.73","4,776.00","5.13M","-2.51"
"Nov 29, 2017","4,900.00","4,966.50","5,064.94","4,890.00","3.10M","-1.28"
"Nov 28, 2017","4,963.50","4,973.50","5,109.73","4,923.65","2.47M","-0.10"
"Nov 27, 2017","4,968.50","4,974.50","5,109.73","4,923.65","1.43M","-0.29"
"Nov 24, 2017","4,983.00","4,991.00","5,108.89","4,923.65","1.13M","-0.33"
"Nov 23, 2017","4,999.50","5,008.00","5,108.89","4,923.65","1.06M","-0.15"
"Nov 22, 2017","5,007.00","5,008.00","5,108.89","4,923.65","1.85M","-0.58"
"Nov 21, 2017","5,036.00","4,953.00","5,075.41","4,940.50","1.74M","1.52"
"Nov 20, 2017","4,960.50","4,969.50","5,083.07","4,922.00","1.86M","-0.29"
"Nov 17, 2017","4,975.00","4,989.50","5,071.41","4,943.00","1.58M","-0.72"
"Nov 16, 2017","5,011.00","5,010.00","5,083.08","4,980.50","3.94M","0.39"
"Nov 15, 2017","4,991.50","4,996.00","5,083.69","4,967.50","2.39M","0.65"
"Nov 14, 2017","4,959.50","4,933.50","5,044.07","4,901.00","2.06M","0.60"
"Nov 13, 2017","4,930.00","4,916.00","5,004.00","4,910.00","2.58M","1.23"
"Nov 10, 2017","4,870.00","4,953.50","5,002.78","4,862.00","3.28M","-1.85"
"Nov 09, 2017","4,962.00","5,034.00","5,146.00","4,953.50","3.14M","-0.64"
"Nov 08, 2017","4,994.00","5,030.00","5,101.78","4,969.00","3.47M","-0.60"
"Nov 07, 2017","5,024.00","5,145.00","5,199.15","5,003.00","2.88M","-2.09"
"Nov 06, 2017","5,131.00","5,167.00","5,239.90","5,119.00","1.90M","-0.95"
"Nov 03, 2017","5,180.00","5,153.00","5,181.00","5,133.00","1.44M","0.54"
