"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","575.40","561.00","580.00","561.00","5.74M","1.84"
"Feb 23, 2018","565.00","577.00","577.40","556.00","17.11M","-3.42"
"Feb 22, 2018","585.00","602.00","607.20","573.13","15.80M","-2.73"
"Feb 21, 2018","601.40","591.20","601.60","586.60","6.55M","0.94"
"Feb 20, 2018","595.80","594.00","600.40","593.80","6.74M","0.51"
"Feb 19, 2018","592.80","599.80","599.80","591.20","3.76M","-0.84"
"Feb 16, 2018","597.80","594.40","598.40","591.40","7.96M","1.12"
"Feb 15, 2018","591.20","577.40","591.80","575.60","7.13M","3.28"
"Feb 14, 2018","572.40","572.00","577.60","567.20","9.88M","0.49"
"Feb 13, 2018","569.60","565.60","570.40","565.20","6.01M","0.64"
"Feb 12, 2018","566.00","564.00","567.20","560.68","10.99M","1.32"
"Feb 09, 2018","558.60","566.20","571.80","557.40","8.04M","-1.65"
"Feb 08, 2018","568.00","571.80","581.40","568.00","11.16M","-1.22"
"Feb 07, 2018","575.00","566.20","576.00","562.40","8.76M","2.53"
"Feb 06, 2018","560.80","570.20","585.96","560.40","28.52M","-4.17"
"Feb 05, 2018","585.20","588.00","590.06","583.00","11.20M","-1.12"
"Feb 02, 2018","591.80","590.60","595.00","589.80","13.76M","-0.20"
"Feb 01, 2018","593.00","594.00","598.20","589.80","10.72M","-0.17"
"Jan 31, 2018","594.00","586.80","596.60","585.20","11.35M","1.75"
"Jan 30, 2018","583.80","589.20","595.40","583.80","8.50M","-0.78"
"Jan 29, 2018","588.40","580.20","590.40","579.40","9.31M","1.55"
"Jan 26, 2018","579.40","567.80","579.40","565.70","8.15M","2.40"
"Jan 25, 2018","565.80","565.00","568.20","563.00","10.71M","0.11"
"Jan 24, 2018","565.20","583.60","583.60","565.20","12.73M","-3.05"
"Jan 23, 2018","583.00","584.20","586.40","578.20","5.93M","-0.10"
"Jan 22, 2018","583.60","588.20","588.60","583.00","10.75M","-0.68"
"Jan 19, 2018","587.60","587.60","589.40","585.30","10.96M","0.24"
"Jan 18, 2018","586.20","594.80","594.80","579.60","12.80M","-1.01"
"Jan 17, 2018","592.20","593.60","598.40","589.80","8.28M","-0.10"
"Jan 16, 2018","592.80","592.00","596.40","590.00","8.78M","0.24"
"Jan 15, 2018","591.40","591.00","594.98","590.00","7.06M","0.31"
"Jan 12, 2018","589.60","588.40","590.30","584.40","9.83M","0.65"
"Jan 11, 2018","585.80","579.20","589.20","577.80","12.27M","1.38"
"Jan 10, 2018","577.80","575.00","580.40","574.80","7.20M","0.91"
"Jan 09, 2018","572.60","572.00","574.20","569.90","5.46M","0.10"
"Jan 08, 2018","572.00","573.20","579.80","571.60","8.63M","0.00"
"Jan 05, 2018","572.00","571.60","573.00","566.80","6.98M","-0.35"
"Jan 04, 2018","574.00","575.00","575.80","572.40","7.16M","-0.10"
"Jan 03, 2018","574.60","577.20","577.80","571.20","8.17M","-0.14"
"Jan 02, 2018","575.40","576.80","578.00","570.31","7.41M","0.42"
"Dec 29, 2017","573.00","569.50","576.00","568.00","2.67M","0.79"
"Dec 28, 2017","568.50","569.50","576.14","546.50","2.87M","-0.09"
"Dec 27, 2017","569.00","569.50","571.00","564.75","4.49M","0.18"
"Dec 22, 2017","568.00","567.50","576.50","567.15","3.09M","-0.09"
"Dec 21, 2017","568.50","569.50","570.00","564.50","5.31M","-0.09"
"Dec 20, 2017","569.00","563.00","570.00","559.00","8.11M","0.89"
"Dec 19, 2017","564.00","563.50","567.00","561.50","7.67M","0.18"
"Dec 18, 2017","563.00","567.00","573.00","546.50","7.60M","0.00"
"Dec 15, 2017","563.00","562.50","565.00","560.00","13.97M","0.09"
"Dec 14, 2017","562.50","563.50","573.00","546.50","8.63M","-0.53"
"Dec 13, 2017","565.50","552.50","573.00","546.50","14.56M","1.80"
"Dec 12, 2017","555.50","558.50","558.50","554.14","7.61M","-0.27"
"Dec 11, 2017","557.00","565.00","574.00","546.50","7.40M","0.00"
"Dec 08, 2017","557.00","554.00","563.50","546.50","6.01M","0.54"
"Dec 07, 2017","554.00","561.00","563.50","546.50","7.91M","-1.25"
"Dec 06, 2017","561.00","548.00","563.00","545.50","8.71M","1.81"
"Dec 05, 2017","551.00","557.00","558.50","549.50","11.61M","-0.90"
"Dec 04, 2017","556.00","561.50","562.00","551.50","12.16M","0.72"
"Dec 01, 2017","552.00","554.00","557.50","547.50","14.57M","0.00"
"Nov 30, 2017","552.00","550.00","563.50","534.23","28.25M","1.47"
"Nov 29, 2017","544.00","548.50","551.00","542.00","13.96M","-0.64"
"Nov 28, 2017","547.50","541.00","549.50","534.23","7.68M","0.74"
