"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","210.15","209.60","211.30","209.53","18.08M","0.17"
"Feb 23, 2018","209.80","208.50","210.70","208.50","35.32M","-0.57"
"Feb 22, 2018","211.00","207.80","215.00","204.00","100.71M","4.40"
"Feb 21, 2018","202.10","201.00","202.60","199.90","37.50M","0.52"
"Feb 20, 2018","201.05","201.75","202.70","200.00","54.44M","0.02"
"Feb 19, 2018","201.00","200.70","202.66","200.30","28.22M","0.47"
"Feb 16, 2018","200.05","199.44","200.54","197.86","48.11M","0.78"
"Feb 15, 2018","198.50","197.30","200.05","196.98","42.55M","1.43"
"Feb 14, 2018","195.70","195.18","196.32","192.72","33.94M","1.40"
"Feb 13, 2018","193.00","193.72","195.86","192.82","28.65M","-0.17"
"Feb 12, 2018","193.32","195.00","196.26","192.56","40.03M","0.22"
"Feb 09, 2018","192.90","192.90","195.81","191.62","48.28M","-0.62"
"Feb 08, 2018","194.10","192.54","197.90","191.34","59.32M","0.47"
"Feb 07, 2018","193.20","191.10","194.04","190.04","46.36M","2.19"
"Feb 06, 2018","189.06","188.62","192.26","187.14","77.61M","-2.51"
"Feb 05, 2018","193.92","193.80","196.34","192.90","40.76M","-0.84"
"Feb 02, 2018","195.56","197.82","198.32","195.32","34.52M","-0.90"
"Feb 01, 2018","197.34","201.85","203.16","197.10","40.33M","-1.30"
"Jan 31, 2018","199.94","203.30","204.20","199.14","40.44M","-0.90"
"Jan 30, 2018","201.75","206.15","207.00","200.10","45.78M","-2.84"
"Jan 29, 2018","207.65","209.90","210.30","207.50","33.06M","-1.12"
"Jan 26, 2018","210.00","210.00","211.95","209.65","52.07M","-0.14"
"Jan 25, 2018","210.30","208.10","210.50","207.47","36.29M","0.86"
"Jan 24, 2018","208.50","209.00","210.91","208.50","31.90M","-0.33"
"Jan 23, 2018","209.20","209.85","210.41","207.50","45.71M","0.00"
"Jan 22, 2018","209.20","201.75","209.51","201.20","76.87M","4.34"
"Jan 19, 2018","200.50","200.00","202.10","198.30","42.01M","0.60"
"Jan 18, 2018","199.30","199.68","200.05","197.90","32.65M","0.39"
"Jan 17, 2018","198.52","198.82","201.45","197.44","37.15M","-0.44"
"Jan 16, 2018","199.40","195.50","200.25","194.56","59.58M","1.97"
"Jan 15, 2018","195.54","200.00","200.00","194.80","32.96M","0.53"
"Jan 12, 2018","194.50","197.18","198.96","193.64","56.40M","-0.82"
"Jan 11, 2018","196.10","200.00","200.80","194.48","110.40M","-2.53"
"Jan 10, 2018","201.20","197.00","203.05","197.00","50.89M","-0.30"
"Jan 09, 2018","201.80","200.35","202.50","198.76","33.22M","0.85"
"Jan 08, 2018","200.10","199.00","203.30","198.76","46.71M","0.46"
"Jan 05, 2018","199.18","204.35","205.10","199.06","54.00M","-2.60"
"Jan 04, 2018","204.50","203.75","205.95","203.05","33.12M","0.39"
"Jan 03, 2018","203.70","203.20","204.32","202.56","23.80M","0.25"
"Jan 02, 2018","203.20","203.95","204.65","202.65","23.82M","0.05"
"Dec 29, 2017","203.10","203.25","203.85","201.80","15.76M","-0.15"
"Dec 28, 2017","203.40","203.00","203.55","201.90","21.01M","0.37"
"Dec 27, 2017","202.65","202.95","205.40","202.05","28.40M","0.25"
"Dec 22, 2017","202.15","202.90","203.25","201.65","18.25M","-1.17"
"Dec 21, 2017","204.55","202.55","205.31","201.85","31.18M","0.49"
"Dec 20, 2017","203.55","204.05","205.30","203.40","50.33M","-0.32"
"Dec 19, 2017","204.20","203.65","205.40","203.30","46.45M","-0.15"
