"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","4,469.50","4,480.50","4,488.00","4,434.00","1.45M","0.21"
"Feb 23, 2018","4,460.00","4,369.50","4,460.00","4,313.47","4.74M","2.42"
"Feb 22, 2018","4,354.50","4,275.00","4,460.00","4,193.50","7.98M","-2.15"
"Feb 21, 2018","4,450.00","4,460.00","4,509.50","4,418.00","3.45M","-0.96"
"Feb 20, 2018","4,493.00","4,448.00","4,493.00","4,432.50","4.17M","1.19"
"Feb 19, 2018","4,440.00","4,430.00","4,469.50","4,419.00","1.85M","-0.26"
"Feb 16, 2018","4,451.50","4,455.00","4,463.00","4,416.50","2.82M","0.63"
"Feb 15, 2018","4,423.50","4,448.50","4,448.50","4,387.00","3.23M","-0.37"
"Feb 14, 2018","4,440.00","4,432.00","4,488.50","4,416.50","5.38M","1.34"
"Feb 13, 2018","4,381.50","4,468.50","4,493.50","4,379.00","5.11M","-1.87"
"Feb 12, 2018","4,465.00","4,440.50","4,494.00","4,407.00","3.94M","1.19"
"Feb 09, 2018","4,412.50","4,472.00","4,512.50","4,405.00","4.36M","-1.89"
"Feb 08, 2018","4,497.50","4,567.00","4,590.56","4,480.00","5.06M","-3.18"
"Feb 07, 2018","4,645.00","4,592.00","4,677.00","4,540.00","3.65M","2.78"
"Feb 06, 2018","4,519.50","4,521.50","4,612.00","4,450.00","5.53M","-2.44"
"Feb 05, 2018","4,632.50","4,738.50","4,738.50","4,632.50","4.19M","-2.68"
"Feb 02, 2018","4,760.00","4,794.00","4,809.50","4,750.00","2.54M","-1.33"
"Feb 01, 2018","4,824.00","4,827.50","4,864.50","4,810.00","2.58M","0.10"
"Jan 31, 2018","4,819.00","4,846.50","4,883.00","4,800.50","3.30M","-0.26"
"Jan 30, 2018","4,831.50","4,851.00","4,892.50","4,831.50","2.89M","-0.89"
"Jan 29, 2018","4,875.00","4,923.50","4,927.00","4,860.50","2.77M","-1.30"
"Jan 26, 2018","4,939.00","4,851.50","4,939.00","4,827.50","3.77M","1.42"
"Jan 25, 2018","4,870.00","4,973.50","4,995.50","4,864.50","2.93M","-2.13"
"Jan 24, 2018","4,976.00","5,089.00","5,099.00","4,976.00","3.82M","-2.43"
"Jan 23, 2018","5,100.00","5,064.00","5,108.00","5,026.00","3.60M","1.15"
"Jan 22, 2018","5,042.00","5,028.00","5,079.00","5,024.00","2.95M","-0.40"
"Jan 19, 2018","5,062.00","4,930.50","5,062.00","4,930.50","4.29M","2.26"
"Jan 18, 2018","4,950.00","5,029.00","5,044.00","4,932.00","3.99M","-1.06"
"Jan 17, 2018","5,003.00","5,015.00","5,036.00","4,994.00","2.66M","-0.60"
"Jan 16, 2018","5,033.00","5,040.00","5,103.00","5,010.63","3.83M","0.36"
"Jan 15, 2018","5,015.00","4,963.50","5,037.00","4,961.50","2.48M","0.95"
"Jan 12, 2018","4,968.00","5,037.00","5,039.00","4,960.00","3.12M","-1.62"
