"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","553.00","552.60","555.20","548.00","1.53M","0.66"
"Feb 23, 2018","549.40","553.20","555.10","545.40","3.48M","-0.43"
"Feb 22, 2018","551.80","564.60","568.20","548.00","7.60M","-2.75"
"Feb 21, 2018","567.40","576.00","577.00","554.60","7.44M","0.92"
"Feb 20, 2018","562.20","558.80","566.20","557.00","3.76M","1.12"
"Feb 19, 2018","556.00","553.80","561.40","546.60","3.49M","0.76"
"Feb 16, 2018","551.80","552.40","554.88","546.60","3.22M","0.55"
"Feb 15, 2018","548.80","551.80","556.80","546.60","2.29M","0.18"
"Feb 14, 2018","547.80","555.00","558.20","540.20","3.60M","-0.58"
"Feb 13, 2018","551.00","552.20","557.60","550.40","3.00M","-0.29"
"Feb 12, 2018","552.60","560.00","560.40","549.00","2.79M","-0.25"
"Feb 09, 2018","554.00","545.80","557.40","544.80","4.59M","1.06"
"Feb 08, 2018","548.20","569.20","573.40","548.00","5.62M","-4.19"
"Feb 07, 2018","572.20","572.60","576.60","564.60","7.67M","1.63"
"Feb 06, 2018","563.00","551.20","567.80","545.40","10.25M","-0.71"
"Feb 05, 2018","567.00","568.40","570.00","561.60","5.12M","-1.32"
"Feb 02, 2018","574.60","583.20","584.20","574.20","7.76M","-1.71"
"Feb 01, 2018","584.60","588.20","592.40","583.60","6.64M","-0.10"
"Jan 31, 2018","585.20","599.00","601.40","582.60","6.57M","-2.60"
"Jan 30, 2018","600.80","612.00","613.80","599.80","3.91M","-2.53"
"Jan 29, 2018","616.40","618.40","623.80","616.00","3.54M","-0.29"
"Jan 26, 2018","618.20","615.80","624.60","611.80","4.51M","0.85"
"Jan 25, 2018","613.00","606.60","615.00","604.60","5.88M","0.52"
"Jan 24, 2018","609.80","605.20","614.60","602.80","4.49M","0.66"
"Jan 23, 2018","605.80","605.20","609.80","602.78","2.71M","0.40"
"Jan 22, 2018","603.40","615.00","616.20","600.80","4.97M","-1.92"
"Jan 19, 2018","615.20","611.60","621.80","611.60","4.44M","0.36"
"Jan 18, 2018","613.00","612.00","614.60","606.80","6.31M","0.52"
"Jan 17, 2018","609.80","618.00","618.40","607.80","9.47M","-1.39"
"Jan 16, 2018","618.40","618.60","621.00","613.40","3.96M","0.32"
"Jan 15, 2018","616.40","622.60","625.00","616.00","2.44M","-0.77"
"Jan 12, 2018","621.20","618.60","628.00","618.40","4.47M","0.68"
"Jan 11, 2018","617.00","626.00","628.80","611.20","6.91M","-2.71"
"Jan 10, 2018","634.20","642.00","642.00","627.60","6.27M","-1.43"
"Jan 09, 2018","643.40","649.40","656.60","643.00","3.11M","-0.62"
"Jan 08, 2018","647.40","658.60","658.60","645.80","2.74M","-1.58"
"Jan 05, 2018","657.80","652.20","661.74","650.98","2.80M","0.86"
"Jan 04, 2018","652.20","658.20","658.20","650.20","3.46M","-0.12"
"Jan 03, 2018","653.00","656.20","656.20","651.40","2.45M","-0.06"
"Jan 02, 2018","653.40","654.60","656.00","644.40","3.27M","0.91"
"Dec 29, 2017","647.50","646.00","652.00","642.75","1.44M","-0.15"
"Dec 28, 2017","648.50","653.00","653.50","646.00","2.52M","-0.31"
"Dec 27, 2017","650.50","646.00","650.50","638.50","2.39M","1.01"
"Dec 22, 2017","644.00","642.00","645.50","639.00","1.29M","0.31"
"Dec 21, 2017","642.00","641.00","642.75","634.50","4.02M","-0.16"
"Dec 20, 2017","643.00","647.00","647.00","635.00","2.97M","-0.46"
"Dec 19, 2017","646.00","640.00","647.00","639.00","2.65M","0.70"
"Dec 18, 2017","641.50","630.00","642.16","626.50","3.43M","2.39"
"Dec 15, 2017","626.50","630.00","630.00","619.00","6.69M","-0.56"
"Dec 14, 2017","630.00","630.00","641.13","603.00","9.99M","-0.32"
"Dec 13, 2017","632.00","636.50","638.08","603.00","13.22M","-0.08"
"Dec 12, 2017","632.50","630.50","634.50","621.50","6.13M","0.72"
"Dec 11, 2017","628.00","634.50","634.70","623.00","6.18M","-0.32"
"Dec 08, 2017","630.00","612.50","638.08","603.00","8.92M","3.62"
"Dec 07, 2017","608.00","612.00","612.50","605.00","3.39M","-0.49"
"Dec 06, 2017","611.00","613.50","617.35","607.00","3.86M","-0.41"
"Dec 05, 2017","613.50","612.50","618.50","603.00","19.24M","1.15"
"Dec 04, 2017","606.50","607.00","610.00","603.00","3.08M","0.92"
"Dec 01, 2017","601.00","605.00","636.00","590.86","6.06M","-0.83"
"Nov 30, 2017","606.00","612.00","636.00","590.86","7.19M","-0.49"
"Nov 29, 2017","609.00","599.00","636.00","590.86","6.34M","2.35"
"Nov 28, 2017","595.00","602.00","636.00","590.86","15.27M","-1.00"
"Nov 27, 2017","601.00","601.00","606.50","599.00","4.70M","0.08"
"Nov 24, 2017","600.50","618.50","619.50","600.50","14.02M","-3.30"
"Nov 23, 2017","621.00","610.00","636.00","605.00","7.89M","1.80"
"Nov 22, 2017","610.00","633.00","636.00","610.00","11.78M","-3.71"
"Nov 21, 2017","633.50","633.50","635.14","630.00","4.76M","0.08"
"Nov 20, 2017","633.00","627.50","636.00","624.50","6.38M","0.96"
"Nov 17, 2017","627.00","627.50","633.50","625.50","3.86M","0.00"
"Nov 16, 2017","627.00","625.00","632.00","623.50","6.95M","0.80"
"Nov 15, 2017","622.00","628.50","633.00","616.00","6.49M","-1.11"
"Nov 14, 2017","629.00","620.00","632.50","619.50","4.05M","1.78"
"Nov 13, 2017","618.00","621.50","650.40","614.00","3.93M","-0.32"
"Nov 10, 2017","620.00","627.00","628.00","612.00","4.77M","1.31"
"Nov 09, 2017","612.00","629.00","632.15","612.00","12.31M","-3.62"
"Nov 08, 2017","635.00","647.00","649.00","634.88","8.69M","-2.53"
"Nov 07, 2017","651.50","660.00","660.00","647.50","3.20M","-0.91"
"Nov 06, 2017","657.50","651.50","659.50","649.50","2.41M","0.46"
"Nov 03, 2017","654.50","657.50","660.12","653.00","3.20M","-0.30"
"Nov 02, 2017","656.50","656.50","660.11","649.00","5.02M","-0.38"
"Nov 01, 2017","659.00","657.00","662.50","654.50","7.79M","0.69"
"Oct 31, 2017","654.50","651.00","656.00","651.00","3.53M","0.23"
"Oct 30, 2017","653.00","652.00","654.50","641.00","5.61M","-0.53"
"Oct 27, 2017","656.50","670.00","671.00","652.13","7.04M","-1.87"
"Oct 26, 2017","669.00","668.00","670.50","659.70","6.22M","-1.79"
"Oct 25, 2017","681.20","682.66","688.03","675.84","6.22M","-0.21"
"Oct 24, 2017","682.66","678.76","684.61","676.81","4.82M","0.57"
"Oct 23, 2017","678.76","677.79","679.25","671.94","4.49M","0.14"
"Oct 20, 2017","677.79","677.79","680.71","674.37","7.82M","0.43"
"Oct 19, 2017","674.86","673.89","674.86","666.42","5.02M","0.36"
"Oct 18, 2017","672.42","665.11","675.35","662.18","4.46M","1.47"
"Oct 17, 2017","662.67","663.16","667.06","654.87","5.57M","0.30"
"Oct 16, 2017","660.72","665.11","667.55","654.23","5.14M","-2.98"
"Oct 13, 2017","681.00","673.00","682.00","668.00","5.82M","1.41"
"Oct 12, 2017","671.50","668.00","674.00","663.00","5.81M","0.30"
"Oct 11, 2017","669.50","667.00","672.50","664.00","10.41M","0.30"
"Oct 10, 2017","667.50","654.50","667.50","652.00","7.30M","1.91"
"Oct 09, 2017","655.00","658.00","658.50","651.00","4.88M","-0.15"
"Oct 06, 2017","656.00","655.00","660.13","646.50","8.10M","1.47"
"Oct 05, 2017","646.50","640.00","646.50","636.15","5.80M","0.94"
"Oct 04, 2017","640.50","641.00","641.70","634.00","5.51M","-0.16"
"Oct 03, 2017","641.50","641.50","644.25","634.00","9.43M","0.16"
"Oct 02, 2017","640.50","625.00","642.50","625.00","0","4.23"
"Sep 29, 2017","614.50","608.50","615.50","607.50","6.01M","1.24"
"Sep 28, 2017","607.00","604.50","607.50","595.39","6.54M","0.83"
"Sep 27, 2017","602.00","600.50","602.24","593.50","5.84M","1.18"
"Sep 26, 2017","595.00","594.00","597.50","591.00","5.89M","0.34"
"Sep 25, 2017","593.00","595.50","598.00","591.50","4.72M","-0.67"
"Sep 22, 2017","597.00","588.00","597.55","585.00","5.05M","1.19"
"Sep 21, 2017","590.00","601.00","601.70","589.50","4.11M","-1.99"
"Sep 20, 2017","602.00","591.00","603.50","589.00","7.57M","2.03"
"Sep 19, 2017","590.00","581.00","592.00","581.00","6.87M","1.55"
"Sep 18, 2017","581.00","584.00","586.00","576.30","5.62M","-0.43"
"Sep 15, 2017","583.50","582.50","587.50","577.39","6.71M","0.17"
"Sep 14, 2017","582.50","604.00","604.50","582.27","9.88M","-3.40"
"Sep 13, 2017","603.00","594.00","604.50","587.50","6.62M","1.17"
"Sep 12, 2017","596.00","600.00","600.00","585.50","6.59M","-1.65"
"Sep 11, 2017","606.00","602.50","606.00","598.50","2.89M","1.17"
"Sep 08, 2017","599.00","607.50","608.50","596.87","3.84M","-1.56"
"Sep 07, 2017","608.50","599.00","612.50","596.00","7.41M","2.18"
"Sep 06, 2017","595.50","610.00","613.31","592.92","12.26M","-4.57"
"Sep 05, 2017","624.00","617.00","630.79","617.00","4.69M","1.05"
"Sep 04, 2017","617.50","627.00","628.15","617.10","3.52M","-1.59"
"Sep 01, 2017","627.50","627.50","628.00","623.00","2.87M","0.48"
"Aug 31, 2017","624.50","624.00","629.50","621.00","5.00M","0.56"
"Aug 30, 2017","621.00","613.00","623.13","612.00","7.21M","1.80"
"Aug 29, 2017","610.00","620.50","620.50","608.00","6.46M","-0.49"
"Aug 25, 2017","613.00","615.00","616.50","610.50","1.99M","-0.24"
"Aug 24, 2017","614.50","607.50","617.50","606.00","3.34M","1.32"
"Aug 23, 2017","606.50","616.00","616.00","603.00","3.50M","-1.54"
"Aug 22, 2017","616.00","614.50","620.00","614.50","3.12M","0.98"
"Aug 21, 2017","610.00","607.00","614.00","606.39","2.93M","0.00"
"Aug 18, 2017","610.00","606.00","611.50","605.50","2.46M","-0.25"
"Aug 17, 2017","611.50","613.00","621.50","608.50","3.17M","0.00"
"Aug 16, 2017","611.50","607.50","613.00","604.50","2.55M","1.07"
"Aug 15, 2017","605.00","608.00","610.00","599.00","2.46M","0.08"
"Aug 14, 2017","604.50","596.50","605.50","596.38","3.30M","1.51"
"Aug 11, 2017","595.50","586.50","598.50","579.00","3.10M","1.02"
"Aug 10, 2017","589.50","604.00","606.00","587.00","4.41M","-2.88"
"Aug 09, 2017","607.00","601.50","609.50","597.00","8.04M","1.08"
"Aug 08, 2017","600.50","600.00","601.50","594.00","4.72M","0.33"
"Aug 07, 2017","598.50","600.50","603.50","584.50","6.12M","1.61"
"Aug 04, 2017","589.00","615.00","616.00","583.50","10.94M","-4.69"
"Aug 03, 2017","618.00","619.00","621.00","615.00","4.28M","0.00"
"Aug 02, 2017","618.00","621.00","623.00","614.50","2.49M","-0.56"
"Aug 01, 2017","621.50","617.50","622.00","611.50","3.49M","0.97"
"Jul 31, 2017","615.50","613.00","616.50","611.44","3.90M","0.41"
"Jul 28, 2017","613.00","609.00","616.07","605.00","4.26M","0.16"
"Jul 27, 2017","612.00","616.00","621.16","611.50","4.25M","-0.49"
"Jul 26, 2017","615.00","607.50","616.50","607.50","4.46M","1.91"
"Jul 25, 2017","603.50","603.00","607.50","595.50","2.60M","0.00"
"Jul 24, 2017","603.50","612.00","613.00","599.36","3.93M","-1.47"
"Jul 21, 2017","612.50","611.00","612.50","605.50","4.47M","0.33"
"Jul 20, 2017","610.50","612.00","613.50","606.00","3.08M","0.16"
"Jul 19, 2017","609.50","596.50","611.50","596.50","4.54M","2.44"
"Jul 18, 2017","595.00","585.00","595.50","582.50","3.32M","1.62"
"Jul 17, 2017","585.50","585.50","590.00","584.50","2.82M","0.00"
"Jul 14, 2017","585.50","602.50","603.00","584.00","3.78M","-2.50"
"Jul 13, 2017","600.50","596.00","601.25","587.50","5.43M","1.87"
"Jul 12, 2017","589.50","595.00","598.22","582.00","5.91M","0.86"
"Jul 11, 2017","584.50","593.50","593.50","579.50","4.31M","-1.18"
"Jul 10, 2017","591.50","593.50","597.50","586.00","2.91M","0.34"
"Jul 07, 2017","589.50","595.50","597.19","588.50","5.21M","-0.42"
"Jul 06, 2017","592.00","582.00","592.00","582.00","5.55M","1.72"
"Jul 05, 2017","582.00","578.00","582.50","574.38","5.46M","2.74"
"Jul 04, 2017","566.50","560.50","569.15","559.00","1.78M","0.89"
"Jul 03, 2017","561.50","566.50","569.00","558.15","4.41M","-0.35"
"Jun 30, 2017","563.50","565.00","571.50","561.50","3.30M","0.00"
"Jun 29, 2017","563.50","572.50","572.50","561.85","3.84M","-1.40"
"Jun 28, 2017","571.50","564.00","579.00","560.00","7.78M","1.42"
"Jun 27, 2017","563.50","565.00","565.50","556.50","5.19M","-0.18"
"Jun 26, 2017","564.50","568.50","569.00","563.88","3.78M","-0.09"
"Jun 23, 2017","565.00","568.50","570.50","564.89","2.49M","-0.62"
"Jun 22, 2017","568.50","568.00","571.50","561.50","3.66M","0.44"
"Jun 21, 2017","566.00","569.00","573.50","563.74","3.27M","-0.44"
"Jun 20, 2017","568.50","575.50","578.00","567.00","6.38M","-0.87"
"Jun 19, 2017","573.50","574.50","578.50","572.00","7.39M","0.35"
"Jun 16, 2017","571.50","577.50","581.00","571.50","10.87M","-0.70"
"Jun 15, 2017","575.50","593.50","594.00","561.85","6.97M","-3.11"
"Jun 14, 2017","594.00","576.50","595.50","576.50","4.49M","3.21"
"Jun 13, 2017","575.50","575.50","584.82","572.50","4.79M","0.17"
"Jun 12, 2017","574.50","570.50","575.50","569.18","4.54M","-0.35"
"Jun 09, 2017","576.50","583.00","583.00","565.41","0","-2.29"
"Jun 08, 2017","590.00","587.00","592.00","585.00","0","0.94"
"Jun 07, 2017","584.50","578.00","588.50","578.00","0","0.78"
"Jun 06, 2017","580.00","589.00","593.00","579.00","0","-1.53"
"Jun 05, 2017","589.00","596.00","597.44","587.00","3.02M","-0.93"
"Jun 02, 2017","594.50","605.50","608.56","593.50","4.31M","-1.25"
"Jun 01, 2017","602.00","613.00","620.00","600.00","3.75M","-1.71"
"May 31, 2017","612.50","603.00","613.50","603.00","4.97M","1.83"
"May 30, 2017","601.50","600.50","604.00","594.86","2.83M","0.08"
"May 26, 2017","601.00","609.00","610.00","599.28","2.16M","-0.99"
"May 25, 2017","607.00","610.50","611.50","603.28","1.85M","-0.25"
"May 24, 2017","608.50","611.00","614.21","605.00","2.92M","-0.08"
"May 23, 2017","609.00","614.50","618.00","609.00","2.45M","-0.73"
"May 22, 2017","613.50","608.00","613.50","604.36","3.06M","0.57"
"May 19, 2017","610.00","613.50","620.50","608.00","4.24M","-0.33"
"May 18, 2017","612.00","617.00","622.00","610.05","5.36M","-0.49"
"May 17, 2017","615.00","610.00","616.00","606.00","3.22M","0.99"
"May 16, 2017","609.00","611.00","614.50","607.00","3.29M","0.16"
"May 15, 2017","608.00","608.00","609.72","598.50","3.50M","0.41"
"May 12, 2017","605.50","604.00","608.00","603.00","4.58M","0.41"
"May 11, 2017","603.00","611.50","614.00","597.50","8.07M","-1.15"
"May 10, 2017","610.00","610.00","624.50","602.00","9.46M","2.26"
"May 09, 2017","596.50","595.00","597.50","593.50","3.60M","0.42"
"May 08, 2017","594.00","593.00","594.00","589.50","2.58M","0.59"
"May 05, 2017","590.50","589.00","590.50","584.50","4.20M","0.85"
"May 04, 2017","585.50","588.00","590.16","579.50","2.17M","-0.17"
"May 03, 2017","586.50","595.00","598.36","584.00","2.23M","-1.43"
"May 02, 2017","595.00","583.00","595.00","578.00","4.34M","2.67"
"Apr 28, 2017","579.50","588.00","588.00","577.50","5.09M","-1.45"
"Apr 27, 2017","588.00","577.50","592.00","576.75","4.44M","1.12"
"Apr 26, 2017","581.50","584.00","584.62","579.50","5.99M","-0.26"
"Apr 25, 2017","583.00","586.50","586.50","581.00","3.74M","-0.17"
"Apr 24, 2017","584.00","581.50","586.00","579.50","3.86M","1.74"
"Apr 21, 2017","574.00","573.50","578.50","567.50","9.53M","-0.35"
"Apr 20, 2017","576.00","578.00","582.00","572.01","3.76M","-2.04"
"Apr 19, 2017","588.00","582.50","593.50","580.00","6.58M","1.38"
"Apr 18, 2017","580.00","574.00","581.00","567.28","7.04M","1.40"
"Apr 13, 2017","572.00","566.00","573.50","560.14","2.82M","1.51"
"Apr 12, 2017","563.50","573.50","573.50","560.00","8.51M","-0.79"
"Apr 11, 2017","568.00","565.50","573.00","563.50","4.16M","0.62"
"Apr 10, 2017","564.50","559.50","567.07","557.00","2.65M","1.07"
"Apr 07, 2017","558.50","558.50","561.00","554.50","3.85M","-0.09"
"Apr 06, 2017","559.00","548.00","559.00","544.68","6.79M","1.91"
"Apr 05, 2017","548.50","551.50","551.50","534.50","5.85M","-0.09"
"Apr 04, 2017","549.00","547.50","550.68","545.50","4.23M","0.18"
"Apr 03, 2017","548.00","547.50","550.51","540.50","7.41M","0.27"
"Mar 31, 2017","546.50","544.00","548.14","538.50","4.67M","0.28"
"Mar 30, 2017","545.00","540.50","545.00","540.00","5.25M","0.83"
"Mar 29, 2017","540.50","548.50","549.50","536.00","3.05M","-1.01"
"Mar 28, 2017","546.00","547.50","547.50","538.50","4.64M","0.37"
"Mar 27, 2017","544.00","541.50","546.62","533.50","3.06M","0.28"
"Mar 24, 2017","542.50","550.50","550.50","540.50","5.51M","-1.18"
"Mar 23, 2017","549.00","546.00","551.00","543.50","3.58M","0.55"
"Mar 22, 2017","546.00","545.00","547.00","537.00","4.32M","0.09"
"Mar 21, 2017","545.50","552.50","554.00","542.50","3.97M","-0.18"
"Mar 20, 2017","546.50","544.00","546.50","538.62","3.62M","0.64"
"Mar 17, 2017","543.00","535.00","546.50","532.68","5.62M","1.59"
"Mar 16, 2017","534.50","537.00","537.00","528.00","3.13M","0.28"
"Mar 15, 2017","533.00","536.00","537.50","528.18","6.40M","-0.37"
