"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","3,871.00","3,853.00","3,881.00","3,825.50","204.12K","0.52"
"Feb 23, 2018","3,851.00","3,870.00","3,870.00","3,812.00","339.02K","-0.13"
"Feb 22, 2018","3,856.00","3,863.00","3,882.00","3,820.00","517.76K","-0.85"
"Feb 21, 2018","3,889.00","3,852.00","3,891.00","3,821.00","498.40K","1.04"
"Feb 20, 2018","3,849.00","3,787.00","3,872.00","3,787.00","480.66K","1.66"
"Feb 19, 2018","3,786.00","3,800.00","3,822.00","3,760.00","546.36K","-0.37"
"Feb 16, 2018","3,800.00","3,799.00","3,828.00","3,779.00","382.33K","0.26"
"Feb 15, 2018","3,790.00","3,800.00","3,862.00","3,774.00","670.16K","0.05"
"Feb 14, 2018","3,788.00","3,822.00","3,822.00","3,733.00","749.66K","0.11"
"Feb 13, 2018","3,784.00","3,782.00","3,837.00","3,782.00","547.60K","0.16"
"Feb 12, 2018","3,778.00","3,784.00","3,804.00","3,756.00","447.08K","0.48"
"Feb 09, 2018","3,760.00","3,728.00","3,805.00","3,693.59","709.37K","0.94"
"Feb 08, 2018","3,725.00","3,884.00","3,916.00","3,725.00","810.37K","-4.49"
"Feb 07, 2018","3,900.00","3,879.00","3,928.00","3,815.00","1.08M","1.33"
"Feb 06, 2018","3,849.00","3,770.00","3,894.00","3,720.00","869.69K","-0.44"
"Feb 05, 2018","3,866.00","3,867.00","3,922.52","3,827.00","708.37K","-0.82"
"Feb 02, 2018","3,898.00","3,955.00","3,965.00","3,881.00","695.29K","-1.44"
"Feb 01, 2018","3,955.00","3,989.00","4,004.00","3,948.00","663.47K","-0.28"
"Jan 31, 2018","3,966.00","4,047.00","4,048.00","3,958.00","787.78K","-2.12"
"Jan 30, 2018","4,052.00","4,100.00","4,100.00","4,045.00","427.42K","-1.24"
"Jan 29, 2018","4,103.00","4,127.00","4,158.00","4,103.00","403.54K","-0.27"
"Jan 26, 2018","4,114.00","4,130.00","4,144.00","4,107.00","487.00K","0.10"
"Jan 25, 2018","4,110.00","4,115.00","4,128.00","4,074.00","445.47K","-0.19"
"Jan 24, 2018","4,118.00","4,154.00","4,167.00","4,113.00","634.26K","-0.63"
"Jan 23, 2018","4,144.00","4,152.00","4,157.00","4,123.00","351.18K","0.10"
"Jan 22, 2018","4,140.00","4,210.00","4,221.00","4,120.00","680.76K","-1.92"
"Jan 19, 2018","4,221.00","4,157.00","4,223.00","4,150.00","1.01M","1.74"
"Jan 18, 2018","4,149.00","4,145.00","4,170.00","4,109.42","354.48K","0.48"
"Jan 17, 2018","4,129.00","4,131.00","4,151.00","4,105.00","427.78K","0.22"
"Jan 16, 2018","4,120.00","4,096.00","4,136.00","4,089.00","518.57K","0.49"
"Jan 15, 2018","4,100.00","4,136.00","4,158.00","4,087.00","845.20K","-0.61"
"Jan 12, 2018","4,125.00","4,150.00","4,187.00","4,117.00","714.73K","-0.41"
"Jan 11, 2018","4,142.00","4,215.00","4,224.00","4,126.00","776.30K","-1.73"
"Jan 10, 2018","4,215.00","4,206.00","4,215.00","4,152.00","769.97K","-0.59"
"Jan 09, 2018","4,240.00","4,232.00","4,270.00","4,223.00","629.92K","0.47"
"Jan 08, 2018","4,220.00","4,220.00","4,247.00","4,195.00","1.28M","-0.12"
"Jan 05, 2018","4,225.00","4,200.00","4,240.00","4,180.62","555.46K","0.72"
"Jan 04, 2018","4,195.00","4,230.00","4,246.00","4,170.00","607.43K","-0.71"
"Jan 03, 2018","4,225.00","4,225.00","4,238.00","4,210.00","565.48K","0.09"
"Jan 02, 2018","4,221.00","4,212.00","4,263.00","4,194.00","450.81K","0.57"
"Dec 29, 2017","4,197.00","4,226.00","4,249.00","4,197.00","298.57K","-0.90"
"Dec 28, 2017","4,235.00","4,226.00","4,246.58","4,212.00","287.48K","0.50"
"Dec 27, 2017","4,214.00","4,219.00","4,230.00","4,182.00","293.89K","0.24"
"Dec 22, 2017","4,204.00","4,173.00","4,221.00","4,173.00","318.48K","0.82"
"Dec 21, 2017","4,170.00","4,200.00","4,204.00","4,137.00","1.19M","-0.95"
"Dec 20, 2017","4,210.00","4,187.00","4,230.00","4,162.00","981.16K","0.29"
"Dec 19, 2017","4,198.00","4,189.00","4,219.00","4,189.00","836.55K","-0.14"
"Dec 18, 2017","4,204.00","4,175.00","4,233.00","4,160.00","1.02M","1.06"
"Dec 15, 2017","4,160.00","4,114.00","4,160.00","4,063.00","1.93M","1.44"
"Dec 14, 2017","4,101.00","4,095.00","4,181.00","4,089.00","990.92K","-0.49"
"Dec 13, 2017","4,121.00","4,020.00","4,228.44","4,020.00","1.66M","0.51"
"Dec 12, 2017","4,100.00","4,124.00","4,137.00","4,032.00","1.23M","-0.39"
"Dec 11, 2017","4,116.00","4,119.00","4,149.11","4,080.00","1.19M","0.07"
"Dec 08, 2017","4,113.00","3,952.00","4,235.00","3,816.00","2.89M","6.94"
"Dec 07, 2017","3,846.00","3,882.00","3,905.92","3,816.00","1.38M","-0.57"
"Dec 06, 2017","3,868.00","3,884.00","3,902.00","3,850.00","687.90K","-0.54"
"Dec 05, 2017","3,889.00","3,877.00","3,907.00","3,816.00","665.81K","0.88"
"Dec 04, 2017","3,855.00","3,847.00","3,864.00","3,814.00","601.90K","0.94"
"Dec 01, 2017","3,819.00","3,814.00","3,854.00","3,780.00","606.75K","0.08"
"Nov 30, 2017","3,816.00","3,828.00","3,867.00","3,767.00","1.30M","-0.68"
"Nov 29, 2017","3,842.00","3,716.00","3,864.00","3,710.00","1.45M","3.64"
"Nov 28, 2017","3,707.00","3,716.00","3,730.00","3,682.00","1.21M","0.05"
"Nov 27, 2017","3,705.00","3,660.00","3,716.00","3,658.00","859.86K","0.82"
"Nov 24, 2017","3,675.00","3,735.00","3,804.00","3,636.00","858.75K","-1.47"
"Nov 23, 2017","3,730.00","3,651.00","3,760.00","3,626.00","532.46K","2.00"
"Nov 22, 2017","3,657.00","3,755.00","3,814.00","3,630.00","1.68M","-2.61"
"Nov 21, 2017","3,755.00","3,755.00","3,784.00","3,733.00","1.18M","0.19"
"Nov 20, 2017","3,748.00","3,754.00","3,771.00","3,701.00","496.54K","-0.16"
"Nov 17, 2017","3,754.00","3,713.00","3,772.00","3,703.00","699.64K","1.35"
"Nov 16, 2017","3,704.00","3,654.00","3,720.00","3,654.00","679.92K","1.48"
"Nov 15, 2017","3,650.00","3,670.00","3,709.00","3,619.00","1.02M","-0.33"
"Nov 14, 2017","3,662.00","3,613.00","3,683.00","3,610.00","674.18K","1.81"
"Nov 13, 2017","3,597.00","3,613.00","3,640.00","3,576.00","803.34K","-0.44"
"Nov 10, 2017","3,613.00","3,599.00","3,621.00","3,574.00","1.02M","0.70"
"Nov 09, 2017","3,588.00","3,657.00","3,668.00","3,579.00","1.16M","-2.13"
"Nov 08, 2017","3,666.00","3,684.00","3,684.00","3,640.00","1.28M","-0.41"
"Nov 07, 2017","3,681.00","3,744.00","3,746.00","3,671.00","632.46K","-1.37"
"Nov 06, 2017","3,732.00","3,694.00","3,748.00","3,692.00","569.43K","0.89"
"Nov 03, 2017","3,699.00","3,740.00","3,751.00","3,688.00","527.31K","-1.10"
"Nov 02, 2017","3,740.00","3,710.00","3,747.00","3,693.00","807.17K","0.56"
"Nov 01, 2017","3,719.00","3,751.00","3,775.00","3,712.00","1.15M","-0.59"
