"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","650.60","655.00","655.00","649.80","1.11M","0.03"
"Feb 23, 2018","650.40","638.80","650.80","638.40","3.64M","1.98"
"Feb 22, 2018","637.80","634.40","638.20","629.20","4.83M","-0.19"
"Feb 21, 2018","639.00","645.60","645.60","635.80","3.40M","-1.33"
"Feb 20, 2018","647.60","647.00","651.00","645.00","1.76M","0.50"
"Feb 19, 2018","644.40","650.00","651.00","642.80","2.12M","-0.71"
"Feb 16, 2018","649.00","638.60","650.20","636.80","4.23M","2.04"
"Feb 15, 2018","636.00","640.40","641.80","635.60","6.11M","0.09"
"Feb 14, 2018","635.40","643.20","647.20","635.40","3.26M","-0.38"
"Feb 13, 2018","637.80","637.40","644.80","636.00","3.17M","0.35"
"Feb 12, 2018","635.60","640.80","645.20","633.80","3.35M","0.35"
"Feb 09, 2018","633.40","630.60","638.00","628.40","4.07M","0.19"
"Feb 08, 2018","632.20","640.00","642.20","631.80","4.84M","-1.89"
"Feb 07, 2018","644.40","634.20","647.60","628.20","4.37M","2.12"
"Feb 06, 2018","631.00","629.60","641.40","610.00","4.82M","-2.65"
"Feb 05, 2018","648.20","655.00","655.00","642.40","4.03M","-1.52"
"Feb 02, 2018","658.20","660.00","661.00","655.00","5.68M","-0.30"
"Feb 01, 2018","660.20","670.80","678.40","657.40","5.05M","-1.26"
"Jan 31, 2018","668.60","675.00","678.90","664.60","7.05M","-0.48"
"Jan 30, 2018","671.80","677.20","680.20","670.00","5.64M","-1.12"
"Jan 29, 2018","679.40","688.20","688.20","679.40","3.96M","-1.02"
"Jan 26, 2018","686.40","684.00","691.00","680.00","3.46M","0.94"
"Jan 25, 2018","680.00","678.00","686.20","675.40","4.07M","0.18"
"Jan 24, 2018","678.80","680.00","683.20","675.80","2.81M","-0.53"
"Jan 23, 2018","682.40","677.60","684.00","673.70","2.81M","0.89"
"Jan 22, 2018","676.40","680.80","682.60","674.60","2.83M","-0.53"
"Jan 19, 2018","680.00","678.60","681.80","674.40","6.63M","0.12"
"Jan 18, 2018","679.20","685.40","687.00","671.20","5.85M","-0.90"
"Jan 17, 2018","685.40","685.60","689.00","682.80","4.15M","0.62"
"Jan 16, 2018","681.20","673.60","685.60","671.91","5.27M","1.34"
"Jan 15, 2018","672.20","674.00","674.60","666.80","4.12M","-0.12"
"Jan 12, 2018","673.00","666.20","678.00","665.40","6.74M","0.99"
"Jan 11, 2018","666.40","676.20","676.20","660.00","5.03M","-1.22"
"Jan 10, 2018","674.60","684.00","685.60","673.80","4.44M","-1.60"
"Jan 09, 2018","685.60","682.20","687.60","680.80","3.91M","0.73"
