"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","1,975.00","2,025.00","2,038.00","1,975.00","1.51M","-1.79"
"Feb 23, 2018","2,011.00","1,987.00","2,018.00","1,983.00","899.45K","1.06"
"Feb 22, 2018","1,990.00","1,986.00","1,997.00","1,976.00","967.75K","-0.25"
"Feb 21, 2018","1,995.00","1,989.50","2,007.00","1,989.50","1.21M","-0.25"
"Feb 20, 2018","2,000.00","2,011.00","2,023.00","1,993.00","1.25M","0.00"
"Feb 19, 2018","2,000.00","2,035.00","2,037.00","1,998.50","522.24K","-1.67"
"Feb 16, 2018","2,034.00","2,038.00","2,058.00","2,033.00","846.46K","-0.10"
"Feb 15, 2018","2,036.00","2,049.00","2,057.00","2,026.00","810.74K","0.25"
"Feb 14, 2018","2,031.00","2,016.00","2,057.00","2,013.00","889.94K","1.25"
"Feb 13, 2018","2,006.00","2,031.00","2,040.00","2,006.00","2.16M","-1.38"
"Feb 12, 2018","2,034.00","2,037.00","2,061.00","2,031.00","827.92K","0.54"
"Feb 09, 2018","2,023.00","2,049.00","2,063.00","2,023.00","1.19M","-1.70"
"Feb 08, 2018","2,058.00","2,053.00","2,070.00","2,037.00","1.26M","0.59"
"Feb 07, 2018","2,046.00","2,040.00","2,055.00","2,021.00","1.59M","1.04"
"Feb 06, 2018","2,025.00","2,013.00","2,047.00","1,992.50","2.08M","-1.70"
"Feb 05, 2018","2,060.00","2,047.00","2,060.00","2,029.00","1.45M","-0.05"
"Feb 02, 2018","2,061.00","2,060.00","2,082.00","2,059.00","1.78M","-0.24"
"Feb 01, 2018","2,066.00","2,064.00","2,100.00","2,057.00","1.37M","0.29"
"Jan 31, 2018","2,060.00","2,068.00","2,068.00","2,045.20","1.67M","0.00"
"Jan 30, 2018","2,060.00","2,052.00","2,069.00","2,050.00","1.94M","-0.10"
"Jan 29, 2018","2,062.00","2,057.00","2,068.00","2,047.00","1.68M","0.15"
"Jan 26, 2018","2,059.00","2,013.00","2,061.00","2,004.00","1.36M","2.49"
"Jan 25, 2018","2,009.00","1,969.50","2,014.00","1,955.50","1.67M","3.50"
"Jan 24, 2018","1,941.00","1,950.00","1,957.00","1,930.00","868.45K","-0.82"
"Jan 23, 2018","1,957.00","1,995.00","1,999.50","1,950.00","1.02M","-1.68"
"Jan 22, 2018","1,990.50","2,022.00","2,035.00","1,985.50","735.72K","-1.85"
"Jan 19, 2018","2,028.00","2,033.00","2,041.00","2,023.00","1.01M","0.05"
"Jan 18, 2018","2,027.00","2,068.00","2,068.00","2,017.00","1.23M","-1.60"
"Jan 17, 2018","2,060.00","2,059.00","2,066.80","2,039.00","845.42K","0.59"
"Jan 16, 2018","2,048.00","2,058.00","2,058.00","2,028.00","840.23K","0.15"
"Jan 15, 2018","2,045.00","2,049.00","2,060.00","2,038.00","729.13K","0.20"
"Jan 12, 2018","2,041.00","2,054.00","2,062.00","2,034.00","996.62K","-0.44"
"Jan 11, 2018","2,050.00","2,035.00","2,073.00","2,016.00","1.99M","2.24"
"Jan 10, 2018","2,005.00","2,024.00","2,024.00","1,999.20","921.10K","-0.89"
"Jan 09, 2018","2,023.00","2,054.00","2,054.00","2,013.00","1.39M","-1.27"
"Jan 08, 2018","2,049.00","2,059.00","2,066.00","2,044.00","811.85K","-0.68"
"Jan 05, 2018","2,063.00","2,057.00","2,066.00","2,050.00","758.92K","0.59"
"Jan 04, 2018","2,051.00","2,061.00","2,062.00","2,045.00","861.09K","0.20"
"Jan 03, 2018","2,047.00","2,089.00","2,093.00","2,044.00","894.48K","0.15"
"Jan 02, 2018","2,044.00","2,068.00","2,071.00","2,040.00","944.68K","-1.35"
"Dec 29, 2017","2,072.00","2,068.00","2,075.00","2,054.00","381.93K","0.68"
"Dec 28, 2017","2,058.00","2,047.00","2,110.60","2,009.00","404.85K","0.44"
"Dec 27, 2017","2,049.00","2,074.00","2,080.00","2,042.20","579.58K","-0.77"
"Dec 22, 2017","2,065.00","2,046.00","2,077.00","2,046.00","280.37K","0.34"
