"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","480.55","481.15","483.00","476.00","18.30M","0.93"
"Feb 23, 2018","476.10","472.00","476.50","468.26","26.45M","0.46"
"Feb 22, 2018","473.90","468.90","474.40","466.40","44.81M","0.36"
"Feb 21, 2018","472.20","473.75","475.00","469.96","24.25M","-0.59"
"Feb 20, 2018","475.00","476.45","478.40","473.45","24.47M","0.20"
"Feb 19, 2018","474.05","474.65","478.75","473.15","21.31M","0.14"
"Feb 16, 2018","473.40","473.30","479.29","470.30","27.51M","0.78"
"Feb 15, 2018","469.75","472.65","478.05","467.10","32.06M","-1.08"
"Feb 14, 2018","474.90","477.00","478.80","472.25","35.74M","-0.22"
"Feb 13, 2018","475.95","477.20","480.84","474.85","30.08M","-0.60"
"Feb 12, 2018","478.80","476.90","482.15","474.25","40.85M","1.86"
"Feb 09, 2018","470.05","477.95","479.35","466.80","42.02M","-2.30"
"Feb 08, 2018","481.10","482.70","507.42","477.00","43.95M","-0.80"
"Feb 07, 2018","485.00","485.55","490.85","476.85","51.48M","2.11"
"Feb 06, 2018","475.00","457.95","490.00","452.50","64.82M","-1.46"
"Feb 05, 2018","482.05","484.55","489.45","475.00","42.99M","-1.51"
"Feb 02, 2018","489.45","504.30","505.70","489.05","35.46M","-2.40"
"Feb 01, 2018","501.50","506.60","509.30","500.80","25.42M","0.08"
"Jan 31, 2018","501.10","507.70","508.10","500.40","37.10M","-1.34"
"Jan 30, 2018","507.90","510.40","514.40","506.20","37.49M","-1.49"
"Jan 29, 2018","515.60","515.10","519.10","513.00","21.16M","-0.14"
"Jan 26, 2018","516.30","517.80","518.70","514.80","24.24M","-0.08"
"Jan 25, 2018","516.70","515.50","520.98","515.30","25.42M","0.23"
"Jan 24, 2018","515.50","516.10","520.71","514.10","41.76M","-0.04"
"Jan 23, 2018","515.70","518.10","518.10","514.70","25.23M","-0.02"
"Jan 22, 2018","515.80","511.10","517.64","508.66","30.79M","1.16"
"Jan 19, 2018","509.90","515.20","515.60","507.70","43.41M","-1.28"
"Jan 18, 2018","516.50","516.80","519.70","513.20","21.06M","0.04"
"Jan 17, 2018","516.30","516.00","519.30","512.50","28.20M","-0.39"
"Jan 16, 2018","518.30","525.00","528.30","516.10","43.83M","-2.70"
"Jan 15, 2018","532.70","533.60","534.20","531.00","18.99M","-0.39"
"Jan 12, 2018","534.80","532.20","536.20","528.26","29.88M","0.34"
"Jan 11, 2018","533.00","529.80","534.00","528.60","29.66M","0.47"
"Jan 10, 2018","530.50","528.40","531.80","528.00","24.91M","0.47"
"Jan 09, 2018","528.00","527.60","529.40","524.60","28.53M","0.11"
"Jan 08, 2018","527.40","529.40","530.56","526.90","24.45M","-0.42"
"Jan 05, 2018","529.60","530.00","531.31","526.70","23.86M","-0.08"
"Jan 04, 2018","530.00","529.10","530.87","523.29","29.50M","1.11"
"Jan 03, 2018","524.20","519.20","525.60","518.80","25.99M","1.29"
"Jan 02, 2018","517.50","524.20","524.34","511.10","22.33M","-0.99"
"Dec 29, 2017","522.70","517.50","523.50","517.40","11.60M","0.79"
"Dec 28, 2017","518.60","519.20","520.16","516.90","12.18M","-0.02"
"Dec 27, 2017","518.70","518.20","520.16","517.30","21.64M","0.29"
"Dec 22, 2017","517.20","518.90","519.00","514.50","9.76M","-0.44"
"Dec 21, 2017","519.50","508.50","520.20","482.70","30.07M","2.12"
