"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","1,546.50","1,543.00","1,553.00","1,539.00","1.01M","0.39"
"Feb 23, 2018","1,540.50","1,559.00","1,559.00","1,534.00","965.66K","-0.77"
"Feb 22, 2018","1,552.50","1,560.00","1,561.00","1,533.50","1.14M","-0.83"
"Feb 21, 2018","1,565.50","1,555.50","1,581.00","1,553.00","1.15M","0.32"
"Feb 20, 2018","1,560.50","1,544.50","1,566.00","1,544.00","1.00M","1.27"
"Feb 19, 2018","1,541.00","1,556.50","1,556.50","1,535.50","704.75K","-0.71"
"Feb 16, 2018","1,552.00","1,561.50","1,565.00","1,544.00","1.14M","-0.19"
"Feb 15, 2018","1,555.00","1,551.50","1,555.50","1,543.50","1.85M","0.78"
"Feb 14, 2018","1,543.00","1,522.50","1,549.00","1,519.50","2.63M","2.22"
"Feb 13, 2018","1,509.50","1,516.00","1,537.50","1,509.50","1.80M","-0.69"
"Feb 12, 2018","1,520.00","1,508.00","1,526.50","1,498.00","1.95M","1.47"
"Feb 09, 2018","1,498.00","1,535.50","1,543.50","1,491.50","2.76M","-2.95"
"Feb 08, 2018","1,543.50","1,559.50","1,564.50","1,543.50","2.24M","-1.69"
"Feb 07, 2018","1,570.00","1,563.50","1,580.00","1,546.50","2.05M","1.88"
"Feb 06, 2018","1,541.00","1,497.50","1,568.50","1,481.50","4.32M","-0.80"
"Feb 05, 2018","1,553.50","1,551.00","1,560.00","1,528.00","2.60M","-0.58"
"Feb 02, 2018","1,562.50","1,567.50","1,579.00","1,561.00","2.10M","-0.29"
"Feb 01, 2018","1,567.00","1,586.00","1,589.50","1,564.28","2.05M","-0.76"
"Jan 31, 2018","1,579.00","1,601.00","1,607.50","1,576.00","2.72M","-0.75"
"Jan 30, 2018","1,591.00","1,612.50","1,618.90","1,585.00","5.74M","-1.43"
"Jan 29, 2018","1,614.00","1,618.00","1,637.01","1,613.25","2.08M","0.16"
"Jan 26, 2018","1,611.50","1,610.00","1,628.50","1,603.50","1.78M","0.56"
"Jan 25, 2018","1,602.50","1,614.50","1,628.50","1,593.00","2.44M","-1.14"
"Jan 24, 2018","1,621.00","1,628.00","1,662.50","1,621.00","2.59M","-0.28"
"Jan 23, 2018","1,625.50","1,603.00","1,643.00","1,584.00","2.72M","1.63"
"Jan 22, 2018","1,599.50","1,594.50","1,625.00","1,594.50","2.33M","0.19"
"Jan 19, 2018","1,596.50","1,595.50","1,610.00","1,590.68","2.92M","0.50"
"Jan 18, 2018","1,588.50","1,619.50","1,631.50","1,576.50","3.58M","-1.88"
"Jan 17, 2018","1,619.00","1,695.50","1,711.50","1,618.00","6.45M","-9.30"
"Jan 16, 2018","1,785.00","1,778.00","1,790.00","1,772.00","2.63M","0.79"
"Jan 15, 2018","1,771.00","1,791.00","1,792.50","1,771.00","1.35M","-1.12"
"Jan 12, 2018","1,791.00","1,781.50","1,817.50","1,781.50","2.28M","0.65"
"Jan 11, 2018","1,779.50","1,779.00","1,783.50","1,764.00","1.28M","0.00"
"Jan 10, 2018","1,779.50","1,779.00","1,786.50","1,764.50","1.01M","0.14"
