"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","2,472.0","2,463.0","2,480.0","2,449.0","666.56K","0.53"
"Feb 23, 2018","2,459.0","2,459.0","2,467.0","2,435.0","647.83K","0.29"
"Feb 22, 2018","2,452.0","2,457.0","2,466.0","2,438.0","566.66K","-0.93"
"Feb 21, 2018","2,475.0","2,469.0","2,487.0","2,440.0","890.05K","0.45"
"Feb 20, 2018","2,464.0","2,463.0","2,500.0","2,450.0","784.71K","0.16"
"Feb 19, 2018","2,460.0","2,458.0","2,465.0","2,446.0","506.12K","0.04"
"Feb 16, 2018","2,459.0","2,409.0","2,478.0","2,400.0","1.21M","2.80"
"Feb 15, 2018","2,392.0","2,400.0","2,408.0","2,339.0","1.70M","2.05"
"Feb 14, 2018","2,344.0","2,293.0","2,429.0","2,288.0","1.47M","4.83"
"Feb 13, 2018","2,236.0","2,225.0","2,274.0","2,217.0","730.59K","0.36"
"Feb 12, 2018","2,228.0","2,226.0","2,240.0","2,211.0","441.82K","0.54"
"Feb 09, 2018","2,216.0","2,221.0","2,254.0","2,214.0","525.99K","-0.72"
"Feb 08, 2018","2,232.0","2,272.0","2,285.0","2,230.0","660.36K","-2.58"
"Feb 07, 2018","2,291.0","2,259.0","2,300.0","2,229.7","597.47K","2.00"
"Feb 06, 2018","2,246.0","2,224.0","2,282.0","2,176.0","881.79K","-2.18"
"Feb 05, 2018","2,296.0","2,326.0","2,326.0","2,296.0","787.84K","-2.13"
"Feb 02, 2018","2,346.0","2,384.0","2,384.0","2,346.0","501.13K","-1.43"
"Feb 01, 2018","2,380.0","2,379.0","2,393.0","2,365.0","713.29K","0.59"
"Jan 31, 2018","2,366.0","2,420.0","2,429.0","2,362.0","878.18K","-2.39"
"Jan 30, 2018","2,424.0","2,403.0","2,432.0","2,395.0","581.01K","0.96"
"Jan 29, 2018","2,401.0","2,420.0","2,420.0","2,392.0","371.37K","-0.70"
"Jan 26, 2018","2,418.0","2,380.0","2,422.0","2,372.0","383.87K","1.98"
"Jan 25, 2018","2,371.0","2,405.0","2,424.0","2,356.0","596.98K","-1.62"
"Jan 24, 2018","2,410.0","2,437.0","2,448.0","2,410.0","600.70K","-0.95"
"Jan 23, 2018","2,433.0","2,419.0","2,443.0","2,406.0","504.59K","0.87"
"Jan 22, 2018","2,412.0","2,417.0","2,436.0","2,407.0","500.03K","-0.50"
"Jan 19, 2018","2,424.0","2,412.0","2,432.0","2,408.0","672.35K","0.50"
"Jan 18, 2018","2,412.0","2,398.0","2,432.0","2,381.0","666.69K","2.20"
"Jan 17, 2018","2,360.0","2,339.0","2,373.0","2,329.7","539.95K","1.03"
"Jan 16, 2018","2,336.0","2,384.0","2,385.0","2,324.0","723.30K","-1.72"
"Jan 15, 2018","2,377.0","2,399.0","2,419.0","2,376.0","325.09K","-0.96"
"Jan 12, 2018","2,400.0","2,400.0","2,414.0","2,393.0","518.65K","-0.04"
"Jan 11, 2018","2,401.0","2,375.0","2,403.0","2,375.0","449.47K","0.84"
"Jan 10, 2018","2,381.0","2,381.0","2,388.0","2,360.0","628.08K","0.04"
"Jan 09, 2018","2,380.0","2,387.0","2,397.0","2,374.0","947.49K","-0.17"
"Jan 08, 2018","2,384.0","2,377.0","2,389.0","2,365.0","435.55K","0.04"
"Jan 05, 2018","2,383.0","2,363.0","2,397.0","2,363.0","413.77K","0.38"
"Jan 04, 2018","2,374.0","2,378.0","2,386.0","2,361.0","512.65K","-0.17"
"Jan 03, 2018","2,378.0","2,374.0","2,389.0","2,363.0","344.32K","-0.04"
"Jan 02, 2018","2,379.0","2,423.0","2,461.0","2,370.0","445.24K","-1.69"
"Dec 29, 2017","2,420.0","2,420.0","2,439.0","2,397.0","236.31K","0.25"
"Dec 28, 2017","2,414.0","2,421.0","2,427.0","2,404.0","320.27K","0.21"
"Dec 27, 2017","2,409.0","2,340.0","2,422.0","2,334.0","694.38K","1.26"
"Dec 22, 2017","2,379.0","2,354.0","2,388.0","2,354.0","1.17M","0.76"
"Dec 21, 2017","2,361.0","2,367.0","2,374.0","2,344.0","707.15K","0.34"
"Dec 20, 2017","2,353.0","2,357.0","2,379.0","2,347.0","813.51K","0.00"
"Dec 19, 2017","2,353.0","2,348.0","2,370.0","2,340.0","733.21K","0.04"
"Dec 18, 2017","2,352.0","2,325.0","2,361.0","2,325.0","771.17K","1.16"
"Dec 15, 2017","2,325.0","2,327.0","2,334.0","2,310.0","1.00M","0.09"
"Dec 14, 2017","2,323.0","2,319.0","2,342.0","2,313.0","1.41M","-0.04"
"Dec 13, 2017","2,324.0","2,329.0","2,380.0","2,304.0","634.54K","-0.30"
"Dec 12, 2017","2,331.0","2,332.0","2,337.0","2,309.0","818.38K","0.09"
"Dec 11, 2017","2,329.0","2,317.0","2,340.0","2,316.0","626.77K","0.43"
"Dec 08, 2017","2,319.0","2,325.0","2,332.0","2,309.0","657.65K","-0.26"
"Dec 07, 2017","2,325.0","2,342.0","2,350.0","2,325.0","924.98K","-0.30"
"Dec 06, 2017","2,332.0","2,351.0","2,362.0","2,317.0","702.65K","-0.81"
"Dec 05, 2017","2,351.0","2,353.0","2,381.0","2,351.0","583.44K","-0.08"
"Dec 04, 2017","2,353.0","2,345.0","2,377.0","2,339.0","578.32K","1.07"
"Dec 01, 2017","2,328.0","2,358.0","2,375.0","2,323.0","599.87K","-1.73"
"Nov 30, 2017","2,369.0","2,380.0","2,386.0","2,360.0","1.02M","-0.75"
"Nov 29, 2017","2,387.0","2,427.0","2,433.0","2,386.8","593.06K","-1.77"
"Nov 28, 2017","2,430.0","2,415.0","2,443.0","2,415.0","974.44K","0.29"
"Nov 27, 2017","2,423.0","2,405.0","2,439.0","2,405.0","596.48K","0.21"
"Nov 24, 2017","2,418.0","2,419.0","2,458.0","2,404.0","641.56K","-0.49"
"Nov 23, 2017","2,430.0","2,414.0","2,437.0","2,414.0","442.13K","-0.41"
"Nov 22, 2017","2,440.0","2,433.0","2,458.0","2,428.5","654.89K","0.08"
"Nov 21, 2017","2,438.0","2,440.0","2,453.0","2,430.0","496.99K","-0.37"
"Nov 20, 2017","2,447.0","2,445.0","2,460.0","2,433.0","666.04K","-0.12"
"Nov 17, 2017","2,450.0","2,450.0","2,467.0","2,445.0","718.82K","-0.12"
"Nov 16, 2017","2,453.0","2,453.0","2,473.0","2,451.0","682.77K","0.25"
"Nov 15, 2017","2,447.0","2,479.0","2,493.0","2,446.0","646.45K","-1.53"
"Nov 14, 2017","2,485.0","2,459.0","2,492.0","2,456.0","625.92K","0.61"
"Nov 13, 2017","2,470.0","2,523.0","2,535.7","2,422.0","1.35M","-4.45"
"Nov 10, 2017","2,585.0","2,617.0","2,627.0","2,571.0","449.79K","-0.31"
"Nov 09, 2017","2,593.0","2,590.0","2,614.0","2,554.0","914.30K","1.25"
"Nov 08, 2017","2,561.0","2,590.0","2,600.0","2,543.0","856.20K","-1.31"
"Nov 07, 2017","2,595.0","2,629.0","2,632.0","2,588.0","442.02K","-1.37"
"Nov 06, 2017","2,631.0","2,628.0","2,647.0","2,626.0","339.02K","-0.27"
"Nov 03, 2017","2,638.0","2,582.0","2,650.0","2,575.0","884.76K","2.73"
"Nov 02, 2017","2,568.0","2,523.0","2,589.0","2,520.0","704.48K","1.22"
"Nov 01, 2017","2,537.0","2,546.0","2,563.0","2,534.0","2.76M","-0.31"
"Oct 31, 2017","2,545.0","2,536.0","2,563.0","2,536.0","484.61K","0.08"
"Oct 30, 2017","2,543.0","2,566.0","2,577.0","2,540.0","484.22K","-1.24"
"Oct 27, 2017","2,575.0","2,567.0","2,603.0","2,567.0","297.94K","0.19"
"Oct 26, 2017","2,570.0","2,571.0","2,582.0","2,546.0","389.25K","0.08"
"Oct 25, 2017","2,568.0","2,579.0","2,592.0","2,565.0","528.60K","-0.35"
"Oct 24, 2017","2,577.0","2,585.0","2,601.0","2,577.0","623.83K","-0.31"
"Oct 23, 2017","2,585.0","2,564.0","2,593.0","2,554.0","379.17K","0.58"
"Oct 20, 2017","2,570.0","2,589.0","2,597.7","2,565.0","443.94K","-0.89"
"Oct 19, 2017","2,593.0","2,638.0","2,644.0","2,587.0","526.60K","-2.04"
"Oct 18, 2017","2,647.0","2,590.0","2,654.0","2,590.0","546.10K","2.08"
"Oct 17, 2017","2,593.0","2,614.0","2,620.0","2,586.0","372.34K","-0.61"
"Oct 16, 2017","2,609.0","2,610.0","2,615.0","2,593.0","329.41K","0.35"
"Oct 13, 2017","2,600.0","2,600.0","2,609.0","2,578.0","414.57K","-0.23"
"Oct 12, 2017","2,606.0","2,607.0","2,620.0","2,597.7","720.56K","-0.19"
"Oct 11, 2017","2,611.0","2,568.0","2,611.3","2,564.0","1.74M","1.32"
