"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","4,821.45","4,804.50","4,841.00","4,794.00","25.31K","0.51"
"Feb 23, 2018","4,797.00","4,843.00","4,843.00","4,786.00","552.51K","-0.87"
"Feb 22, 2018","4,839.00","4,864.00","4,882.00","4,828.00","822.99K","-1.71"
"Feb 21, 2018","4,923.00","4,865.00","4,936.00","4,858.00","789.91K","1.09"
"Feb 20, 2018","4,870.00","4,825.00","4,875.00","4,793.00","1.06M","0.97"
"Feb 19, 2018","4,823.00","4,816.00","4,868.00","4,814.00","432.13K","0.25"
"Feb 16, 2018","4,811.00","4,871.00","4,876.00","4,795.00","1.32M","-1.05"
"Feb 15, 2018","4,862.00","4,901.00","4,937.00","4,841.00","676.66K","0.19"
"Feb 14, 2018","4,853.00","4,896.00","4,896.00","4,814.00","1.48M","-0.16"
"Feb 13, 2018","4,861.00","4,841.00","4,927.00","4,841.00","693.13K","0.21"
"Feb 12, 2018","4,851.00","4,828.00","4,886.00","4,811.00","661.71K","1.34"
"Feb 09, 2018","4,787.00","4,827.00","4,838.00","4,749.00","667.58K","-0.93"
"Feb 08, 2018","4,832.00","4,908.00","4,933.00","4,820.00","567.73K","-2.03"
"Feb 07, 2018","4,932.00","4,856.00","4,961.00","4,813.00","817.28K","2.92"
"Feb 06, 2018","4,792.00","4,810.00","4,884.00","4,774.00","1.54M","-3.19"
"Feb 05, 2018","4,950.00","4,902.00","4,953.50","4,852.90","641.48K","0.22"
"Feb 02, 2018","4,939.00","4,950.00","4,993.00","4,930.00","680.84K","-0.86"
"Feb 01, 2018","4,982.00","4,987.00","5,072.00","4,969.00","926.33K","0.24"
"Jan 31, 2018","4,970.00","5,028.00","5,030.00","4,956.00","805.93K","-1.27"
"Jan 30, 2018","5,034.00","4,994.00","5,058.00","4,979.00","694.11K","0.28"
"Jan 29, 2018","5,020.00","4,940.00","5,022.00","4,940.00","583.57K","1.62"
"Jan 26, 2018","4,940.00","4,902.00","4,948.00","4,900.00","545.25K","1.25"
"Jan 25, 2018","4,879.00","4,910.00","4,930.00","4,867.00","975.25K","-0.51"
"Jan 24, 2018","4,904.00","4,876.00","4,939.00","4,827.00","1.50M","-0.49"
"Jan 23, 2018","4,928.00","4,905.00","4,936.00","4,877.00","630.77K","0.96"
"Jan 22, 2018","4,881.00","4,966.00","4,966.00","4,873.00","812.22K","-1.89"
"Jan 19, 2018","4,975.00","4,946.00","5,002.00","4,942.00","528.85K","0.67"
"Jan 18, 2018","4,942.00","4,965.00","4,985.00","4,931.00","468.23K","-0.16"
"Jan 17, 2018","4,950.00","4,981.00","4,989.00","4,931.00","664.88K","-1.00"
"Jan 16, 2018","5,000.00","5,032.00","5,036.00","4,980.00","892.97K","-0.60"
"Jan 15, 2018","5,030.00","5,042.00","5,068.00","5,028.00","325.61K","-0.20"
"Jan 12, 2018","5,040.00","5,060.00","5,084.00","5,026.00","1.02M","-0.12"
"Jan 11, 2018","5,046.00","5,058.00","5,090.00","5,006.46","1.29M","-0.28"
