"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","143.90","147.55","147.55","142.66","28.16M","-0.17"
"Feb 23, 2018","144.15","142.15","145.35","140.65","31.06M","1.41"
"Feb 22, 2018","142.15","138.65","143.40","134.10","70.06M","7.53"
"Feb 21, 2018","132.20","130.35","132.85","129.17","29.02M","1.11"
"Feb 20, 2018","130.75","129.20","131.05","129.05","32.03M","1.59"
"Feb 19, 2018","128.70","128.40","129.15","128.01","9.34M","0.43"
"Feb 16, 2018","128.15","127.45","129.05","127.22","18.73M","1.38"
"Feb 15, 2018","126.40","128.00","128.00","125.25","21.80M","-0.78"
"Feb 14, 2018","127.40","127.30","128.45","126.55","33.30M","0.67"
"Feb 13, 2018","126.55","126.50","126.90","125.95","17.11M","0.36"
"Feb 12, 2018","126.10","126.20","127.99","125.20","18.80M","1.04"
"Feb 09, 2018","124.80","126.50","127.25","124.25","19.55M","-1.93"
"Feb 08, 2018","127.25","127.20","129.60","126.30","23.35M","-0.43"
"Feb 07, 2018","127.80","125.35","128.45","124.35","26.83M","2.98"
"Feb 06, 2018","124.10","124.40","126.70","123.10","28.55M","-2.55"
"Feb 05, 2018","127.35","127.70","129.15","126.19","25.49M","-0.97"
"Feb 02, 2018","128.60","131.10","131.30","127.53","26.30M","-1.72"
"Feb 01, 2018","130.85","134.20","135.00","130.75","32.07M","-1.95"
"Jan 31, 2018","133.45","133.45","134.46","130.95","64.40M","0.83"
"Jan 30, 2018","132.35","132.75","133.22","131.90","18.56M","-0.71"
"Jan 29, 2018","133.30","135.30","135.60","133.20","12.78M","-1.00"
"Jan 26, 2018","134.65","135.75","136.20","134.25","16.59M","-0.19"
"Jan 25, 2018","134.90","136.25","137.88","134.05","16.42M","-1.17"
"Jan 24, 2018","136.50","139.80","140.25","136.50","18.99M","-2.19"
"Jan 23, 2018","139.55","140.50","140.65","138.00","13.05M","-0.32"
"Jan 22, 2018","140.00","138.60","140.39","138.60","14.13M","0.68"
"Jan 19, 2018","139.05","141.80","141.85","138.30","21.78M","-1.38"
"Jan 18, 2018","141.00","142.80","142.90","140.70","16.68M","-0.98"
"Jan 17, 2018","142.40","145.10","145.25","141.35","19.06M","-1.25"
"Jan 16, 2018","144.20","143.85","144.60","142.70","16.00M","0.49"
"Jan 15, 2018","143.50","143.50","144.50","142.05","18.00M","0.24"
"Jan 12, 2018","143.15","141.85","144.00","141.55","30.50M","1.20"
"Jan 11, 2018","141.45","141.05","142.18","140.65","32.73M","0.68"
"Jan 10, 2018","140.50","141.60","142.72","140.10","17.84M","-0.64"
"Jan 09, 2018","141.40","146.00","147.00","140.80","21.73M","-2.52"
"Jan 08, 2018","145.05","146.15","146.96","145.05","13.83M","-0.75"
"Jan 05, 2018","146.15","144.75","146.67","141.65","30.06M","3.07"
"Jan 04, 2018","141.80","139.75","142.46","139.70","16.08M","1.50"
"Jan 03, 2018","139.70","141.90","142.65","139.35","15.89M","-1.06"
"Jan 02, 2018","141.20","138.20","142.25","137.60","23.42M","2.84"
"Dec 29, 2017","137.30","138.40","138.61","136.50","14.13M","-0.51"
"Dec 28, 2017","138.00","137.80","138.70","136.40","8.01M","0.44"
"Dec 27, 2017","137.40","138.70","139.80","137.40","10.78M","-1.01"
"Dec 22, 2017","138.80","137.00","139.86","137.00","6.39M","0.80"
"Dec 21, 2017","137.70","138.60","138.60","136.85","15.03M","-0.43"
"Dec 20, 2017","138.30","137.60","149.40","136.40","19.40M","0.58"
"Dec 19, 2017","137.50","138.00","149.40","136.40","23.78M","-0.36"
"Dec 18, 2017","138.00","138.90","149.40","136.40","20.33M","0.00"
"Dec 15, 2017","138.00","137.10","149.40","136.40","47.17M","-0.07"
"Dec 14, 2017","138.10","139.60","142.40","137.78","36.42M","-1.00"
"Dec 13, 2017","139.50","144.80","149.40","139.30","45.27M","-3.66"
"Dec 12, 2017","144.80","142.30","149.40","140.81","30.88M","2.33"
"Dec 11, 2017","141.50","145.00","145.00","140.80","53.57M","-1.80"
"Dec 08, 2017","144.10","145.80","149.40","143.70","26.06M","-0.48"
"Dec 07, 2017","144.80","148.30","149.50","144.30","31.69M","-1.50"
"Dec 06, 2017","147.00","147.90","149.20","144.00","33.85M","-0.47"
"Dec 05, 2017","147.70","147.30","148.81","144.00","31.34M","0.75"
"Dec 04, 2017","146.60","144.90","146.90","144.00","25.73M","1.88"
"Dec 01, 2017","143.90","143.90","145.30","133.90","26.45M","-0.48"
"Nov 30, 2017","144.60","143.00","145.10","133.90","44.72M","1.26"
"Nov 29, 2017","142.80","140.00","143.30","133.90","42.06M","2.00"
"Nov 28, 2017","140.00","139.00","140.00","137.20","31.94M","1.08"
"Nov 27, 2017","138.50","138.00","165.40","133.90","38.98M","-0.36"
"Nov 24, 2017","139.00","138.20","165.40","133.90","53.38M","0.72"
"Nov 23, 2017","138.00","140.00","165.40","133.70","119.05M","-15.49"
"Nov 22, 2017","163.30","160.20","165.40","160.04","33.92M","1.94"
"Nov 21, 2017","160.20","161.60","165.40","160.20","16.87M","-0.74"
"Nov 20, 2017","161.40","163.40","165.40","161.00","26.86M","-1.10"
"Nov 17, 2017","163.20","165.40","166.10","162.50","24.57M","-1.57"
"Nov 16, 2017","165.80","169.00","169.60","164.80","34.50M","0.18"
"Nov 15, 2017","165.50","164.50","167.70","164.23","19.79M","0.24"
"Nov 14, 2017","165.10","164.50","165.90","163.91","19.51M","0.43"
"Nov 13, 2017","164.40","167.50","167.80","164.40","26.57M","-1.67"
"Nov 10, 2017","167.20","168.80","169.30","165.30","19.57M","-0.54"
"Nov 09, 2017","168.10","173.30","173.30","167.80","24.52M","-2.55"
"Nov 08, 2017","172.50","169.80","172.90","168.40","34.84M","2.13"
"Nov 07, 2017","168.90","170.00","170.90","167.60","18.68M","-0.59"
"Nov 06, 2017","169.90","167.90","170.50","167.10","17.12M","1.31"
"Nov 03, 2017","167.70","167.10","168.60","166.20","17.76M","0.42"
"Nov 02, 2017","167.00","165.40","169.12","164.90","29.69M","0.72"
"Nov 01, 2017","165.80","170.50","170.50","165.70","33.23M","-2.36"
"Oct 31, 2017","169.80","169.50","170.90","168.79","15.68M","0.47"
"Oct 30, 2017","169.00","169.60","170.20","168.30","13.40M","-0.65"
"Oct 27, 2017","170.10","171.00","172.10","169.18","13.88M","0.12"
"Oct 26, 2017","169.90","168.90","171.90","167.00","20.67M","1.19"
"Oct 25, 2017","167.90","172.60","172.80","167.70","18.63M","-2.55"
"Oct 24, 2017","172.30","175.80","175.90","171.70","19.61M","-1.77"
"Oct 23, 2017","175.40","173.50","176.02","172.60","33.51M","1.33"
"Oct 20, 2017","173.10","173.10","173.50","171.10","24.08M","0.64"
"Oct 19, 2017","172.00","172.70","175.90","171.78","20.73M","-0.41"
"Oct 18, 2017","172.70","172.10","173.80","171.70","18.64M","0.88"
"Oct 17, 2017","171.20","172.70","173.40","170.88","32.43M","-1.04"
"Oct 16, 2017","173.00","174.20","174.70","171.60","25.74M","-0.92"
"Oct 13, 2017","174.60","179.50","180.84","174.01","26.73M","-2.46"
"Oct 12, 2017","179.00","173.00","179.10","172.50","44.98M","1.94"
"Oct 11, 2017","175.60","176.00","180.54","173.50","92.83M","-0.28"
"Oct 10, 2017","176.10","173.00","176.70","172.50","36.92M","1.91"
"Oct 09, 2017","172.80","174.70","177.10","171.79","31.14M","-0.97"
"Oct 06, 2017","174.50","175.00","183.32","173.97","42.51M","-1.69"
"Oct 05, 2017","177.50","180.80","182.30","176.55","45.52M","-1.00"
"Oct 04, 2017","179.30","190.30","191.10","176.80","91.59M","-6.08"
"Oct 03, 2017","190.90","192.60","194.60","190.60","23.24M","-1.09"
"Oct 02, 2017","193.00","186.80","193.00","184.75","0","3.21"
"Sep 29, 2017","187.00","186.90","188.80","185.90","28.39M","0.00"
"Sep 28, 2017","187.00","187.60","187.70","185.00","15.41M","-0.21"
"Sep 27, 2017","187.40","189.80","190.50","187.03","29.85M","-1.16"
"Sep 26, 2017","189.60","189.10","190.30","187.40","14.91M","0.16"
"Sep 25, 2017","189.30","188.60","190.60","187.60","18.19M","0.64"
"Sep 22, 2017","188.10","187.00","188.50","185.20","14.10M","0.43"
"Sep 21, 2017","187.30","189.40","189.60","186.80","12.35M","-0.90"
"Sep 20, 2017","189.00","190.50","191.20","188.60","14.89M","-0.68"
"Sep 19, 2017","190.30","187.50","190.70","186.60","18.03M","1.60"
"Sep 18, 2017","187.30","188.20","189.90","187.10","13.11M","-0.37"
"Sep 15, 2017","188.00","190.36","192.20","187.92","47.79M","-1.26"
"Sep 14, 2017","190.40","192.00","192.80","189.40","74.66M","-0.73"
"Sep 13, 2017","191.80","192.80","193.60","191.60","16.30M","-1.03"
"Sep 12, 2017","193.80","194.90","196.70","193.72","15.72M","-0.31"
"Sep 11, 2017","194.40","195.20","196.50","194.20","8.50M","0.05"
"Sep 08, 2017","194.30","195.60","196.00","192.30","17.37M","-0.66"
"Sep 07, 2017","195.60","197.30","198.20","194.30","19.63M","-0.61"
"Sep 06, 2017","196.80","196.70","197.63","195.40","11.84M","0.00"
"Sep 05, 2017","196.80","198.00","200.00","196.40","12.40M","-0.61"
"Sep 04, 2017","198.00","198.50","199.07","197.30","8.95M","-0.55"
"Sep 01, 2017","199.10","195.00","200.80","195.00","14.52M","-0.40"
"Aug 31, 2017","199.90","197.40","200.10","196.10","16.68M","2.25"
"Aug 30, 2017","195.50","193.80","196.20","192.30","13.23M","1.03"
"Aug 29, 2017","193.50","197.90","198.00","192.80","15.38M","-1.83"
"Aug 25, 2017","197.10","200.00","200.40","196.90","11.45M","-1.35"
"Aug 24, 2017","199.80","199.90","200.90","198.90","9.32M","-0.10"
"Aug 23, 2017","200.00","201.50","202.00","198.60","9.02M","-0.45"
"Aug 22, 2017","200.90","200.50","201.50","199.47","13.22M","0.50"
"Aug 21, 2017","199.90","200.90","201.43","199.00","13.31M","-0.84"
"Aug 18, 2017","201.60","203.50","204.70","201.58","14.45M","-1.27"
"Aug 17, 2017","204.20","204.40","205.63","203.70","12.38M","-0.20"
"Aug 16, 2017","204.60","201.90","205.10","201.40","13.85M","1.79"
"Aug 15, 2017","201.00","200.50","202.30","199.50","10.61M","0.50"
"Aug 14, 2017","200.00","198.30","200.60","198.30","11.73M","0.81"
"Aug 11, 2017","198.40","199.50","200.68","198.20","15.68M","-0.40"
"Aug 10, 2017","199.20","197.50","199.27","196.45","18.18M","1.12"
"Aug 09, 2017","197.00","197.10","197.90","194.60","16.02M","-0.05"
"Aug 08, 2017","197.10","196.90","197.30","194.91","15.54M","0.25"
"Aug 07, 2017","196.60","200.70","200.70","195.40","19.25M","-1.55"
"Aug 04, 2017","199.70","202.40","202.90","199.70","15.21M","-1.33"
"Aug 03, 2017","202.40","201.80","203.40","201.80","13.36M","0.10"
"Aug 02, 2017","202.20","203.60","203.60","201.53","12.64M","-0.39"
"Aug 01, 2017","203.00","201.10","206.20","200.40","25.48M","2.27"
"Jul 31, 2017","198.50","200.80","201.70","197.90","21.49M","-1.44"
"Jul 28, 2017","201.40","201.60","202.20","200.20","16.71M","-0.25"
"Jul 27, 2017","201.90","202.20","203.80","201.40","22.88M","-0.10"
"Jul 26, 2017","202.10","202.40","203.50","201.80","16.02M","0.00"
"Jul 25, 2017","202.10","202.10","203.60","201.80","17.08M","0.05"
"Jul 24, 2017","202.00","205.70","205.70","200.80","44.37M","-1.70"
"Jul 21, 2017","205.50","207.60","208.10","204.95","15.52M","-0.87"
"Jul 20, 2017","207.30","206.80","208.60","206.50","14.69M","0.29"
"Jul 19, 2017","206.70","206.10","207.87","205.90","13.90M","0.00"
