"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","1,552.50","1,528.00","1,558.50","1,525.00","3.29M","1.70"
"Feb 23, 2018","1,526.50","1,537.00","1,548.21","1,521.50","3.30M","-0.91"
"Feb 22, 2018","1,540.50","1,546.00","1,564.19","1,533.00","3.93M","-0.80"
"Feb 21, 2018","1,553.00","1,542.00","1,575.39","1,542.00","3.04M","0.06"
"Feb 20, 2018","1,552.00","1,550.50","1,569.66","1,533.53","4.48M","0.36"
"Feb 19, 2018","1,546.50","1,550.00","1,556.00","1,544.53","2.76M","-0.06"
"Feb 16, 2018","1,547.50","1,553.50","1,556.00","1,540.50","3.11M","-0.23"
"Feb 15, 2018","1,551.00","1,547.00","1,555.00","1,540.00","4.03M","0.16"
"Feb 14, 2018","1,548.50","1,521.00","1,552.00","1,512.00","6.09M","2.08"
"Feb 13, 2018","1,517.00","1,513.00","1,527.50","1,512.50","3.56M","0.07"
"Feb 12, 2018","1,516.00","1,515.00","1,537.56","1,506.50","3.91M","0.63"
"Feb 09, 2018","1,506.50","1,508.50","1,518.53","1,501.47","6.17M","-0.46"
"Feb 08, 2018","1,513.50","1,525.00","1,527.50","1,494.00","9.59M","5.32"
"Feb 07, 2018","1,437.00","1,440.00","1,448.50","1,411.00","5.26M","0.84"
"Feb 06, 2018","1,425.00","1,406.50","1,438.00","1,396.50","7.34M","-1.25"
"Feb 05, 2018","1,443.00","1,456.00","1,458.00","1,442.50","3.96M","-1.50"
"Feb 02, 2018","1,465.00","1,472.00","1,472.00","1,464.50","4.93M","-1.01"
"Feb 01, 2018","1,480.00","1,489.00","1,493.50","1,474.00","4.49M","-0.17"
"Jan 31, 2018","1,482.50","1,489.50","1,489.50","1,478.00","3.66M","-0.13"
"Jan 30, 2018","1,484.50","1,491.50","1,503.03","1,484.00","3.37M","-0.60"
"Jan 29, 2018","1,493.50","1,504.00","1,505.50","1,484.50","3.26M","-0.80"
"Jan 26, 2018","1,505.50","1,504.00","1,511.00","1,499.50","2.96M","0.60"
"Jan 25, 2018","1,496.50","1,506.50","1,513.50","1,487.50","3.96M","-0.66"
"Jan 24, 2018","1,506.50","1,542.00","1,544.50","1,506.50","5.89M","-2.49"
"Jan 23, 2018","1,545.00","1,533.50","1,548.50","1,525.50","3.49M","0.98"
"Jan 22, 2018","1,530.00","1,527.50","1,544.00","1,524.50","5.06M","0.20"
"Jan 19, 2018","1,527.00","1,512.00","1,531.00","1,507.00","4.15M","1.16"
"Jan 18, 2018","1,509.50","1,509.00","1,513.50","1,498.50","3.53M","-1.08"
"Jan 17, 2018","1,526.00","1,530.00","1,558.00","1,522.00","4.39M","-0.23"
"Jan 16, 2018","1,529.50","1,534.50","1,546.00","1,527.50","5.19M","-0.13"
"Jan 15, 2018","1,531.50","1,552.00","1,556.00","1,531.50","3.20M","-1.23"
"Jan 12, 2018","1,550.50","1,550.00","1,565.05","1,545.50","4.03M","0.52"
"Jan 11, 2018","1,542.50","1,548.00","1,548.50","1,532.50","3.67M","-0.26"
"Jan 10, 2018","1,546.50","1,558.00","1,558.50","1,543.50","3.78M","-0.32"
"Jan 09, 2018","1,551.50","1,554.00","1,554.00","1,538.00","4.25M","0.32"
"Jan 08, 2018","1,546.50","1,568.50","1,568.50","1,545.00","3.56M","-1.37"
"Jan 05, 2018","1,568.00","1,563.00","1,570.50","1,556.50","2.98M","0.19"
"Jan 04, 2018","1,565.00","1,570.00","1,571.00","1,554.00","3.80M","0.16"
"Jan 03, 2018","1,562.50","1,580.00","1,584.85","1,560.00","3.41M","-1.11"
"Jan 02, 2018","1,580.00","1,605.00","1,605.00","1,574.00","4.22M","-1.25"
"Dec 29, 2017","1,600.00","1,580.00","1,609.00","1,579.00","2.28M","1.46"
"Dec 28, 2017","1,577.00","1,579.00","1,582.00","1,574.00","2.12M","0.32"
"Dec 27, 2017","1,572.00","1,579.00","1,581.00","1,559.00","2.47M","0.19"
"Dec 22, 2017","1,569.00","1,574.00","1,582.00","1,475.10","2.82M","-0.32"
"Dec 21, 2017","1,574.00","1,556.00","1,579.00","1,475.10","3.32M","1.35"
"Dec 20, 2017","1,553.00","1,567.00","1,569.00","1,552.00","3.98M","-0.83"
"Dec 19, 2017","1,566.00","1,543.00","1,571.00","1,542.00","5.68M","1.62"
"Dec 18, 2017","1,541.00","1,531.00","1,547.50","1,475.10","3.82M","0.46"
"Dec 15, 2017","1,534.00","1,529.00","1,536.00","1,525.00","8.77M","0.66"
"Dec 14, 2017","1,524.00","1,520.00","1,529.00","1,517.00","9.70M","-0.52"
"Dec 13, 2017","1,532.00","1,512.00","1,536.00","1,475.10","6.60M","1.46"
"Dec 12, 2017","1,510.00","1,507.00","1,519.00","1,475.10","4.47M","-0.07"
"Dec 11, 2017","1,511.00","1,489.00","1,519.00","1,475.10","4.52M","1.34"
"Dec 08, 2017","1,491.00","1,485.00","1,519.00","1,475.10","4.91M","0.40"
"Dec 07, 2017","1,485.00","1,503.00","1,519.00","1,482.00","4.25M","-1.33"
"Dec 06, 2017","1,505.00","1,505.00","1,519.00","1,494.00","3.80M","-0.13"
"Dec 05, 2017","1,507.00","1,510.00","1,518.00","1,507.00","9.33M","-0.07"
"Dec 04, 2017","1,508.00","1,508.00","1,519.00","1,503.00","5.07M","0.80"
"Dec 01, 2017","1,496.00","1,502.00","1,608.00","1,485.00","4.86M","-0.20"
"Nov 30, 2017","1,499.00","1,514.00","1,608.00","1,498.10","6.89M","-1.06"
"Nov 29, 2017","1,515.00","1,515.00","1,608.00","1,503.00","4.97M","-1.11"
"Nov 28, 2017","1,532.00","1,518.00","1,608.00","1,503.00","6.69M","0.72"
"Nov 27, 2017","1,521.00","1,510.00","1,608.00","1,503.00","4.53M","0.73"
"Nov 24, 2017","1,510.00","1,511.00","1,608.00","1,503.00","2.59M","-0.13"
"Nov 23, 2017","1,512.00","1,520.00","1,608.00","1,503.00","4.76M","-0.59"
"Nov 22, 2017","1,521.00","1,534.00","1,608.00","1,519.00","5.48M","-1.11"
"Nov 21, 2017","1,538.00","1,549.00","1,563.00","1,511.00","8.47M","-3.33"
"Nov 20, 2017","1,591.00","1,597.00","1,609.00","1,589.00","4.17M","-0.44"
"Nov 17, 2017","1,598.00","1,608.00","1,617.00","1,596.00","4.35M","-1.48"
"Nov 16, 2017","1,622.00","1,610.00","1,623.00","1,590.00","7.88M","0.68"
"Nov 15, 2017","1,611.00","1,637.00","1,640.00","1,609.00","4.78M","-1.59"
"Nov 14, 2017","1,637.00","1,640.00","1,651.00","1,634.00","4.68M","-0.43"
"Nov 13, 2017","1,644.00","1,640.00","1,650.00","1,630.00","3.75M","0.55"
"Nov 10, 2017","1,635.00","1,642.00","1,642.00","1,623.00","3.03M","-0.18"
"Nov 09, 2017","1,638.00","1,638.00","1,653.00","1,635.00","2.50M","-0.24"
"Nov 08, 2017","1,642.00","1,647.00","1,659.00","1,642.00","4.60M","-0.24"
"Nov 07, 2017","1,646.00","1,659.00","1,661.00","1,644.00","2.55M","-0.42"
"Nov 06, 2017","1,653.00","1,660.00","1,665.00","1,649.00","1.82M","-0.72"
"Nov 03, 2017","1,665.00","1,649.00","1,669.00","1,646.00","2.23M","0.85"
"Nov 02, 2017","1,651.00","1,627.00","1,654.00","1,626.00","2.65M","1.29"
"Nov 01, 2017","1,630.00","1,655.00","1,657.00","1,630.00","8.91M","-1.39"
"Oct 31, 2017","1,653.00","1,644.00","1,655.00","1,640.00","3.34M","0.43"
"Oct 30, 2017","1,646.00","1,638.00","1,647.00","1,629.00","4.14M","0.49"
"Oct 27, 2017","1,638.00","1,620.00","1,641.00","1,616.00","4.40M","2.38"
"Oct 26, 2017","1,600.00","1,578.00","1,602.00","1,572.00","2.85M","1.52"
"Oct 25, 2017","1,576.00","1,573.00","1,591.00","1,566.00","3.56M","-0.13"
"Oct 24, 2017","1,578.00","1,584.00","1,588.00","1,573.00","3.03M","-0.38"
"Oct 23, 2017","1,584.00","1,584.00","1,596.00","1,581.00","2.05M","0.00"
"Oct 20, 2017","1,584.00","1,613.00","1,613.00","1,583.00","3.04M","-1.37"
"Oct 19, 2017","1,606.00","1,615.00","1,615.00","1,602.00","5.24M","-0.80"
"Oct 18, 2017","1,619.00","1,606.00","1,619.00","1,594.00","2.37M","1.31"
"Oct 17, 2017","1,598.00","1,607.00","1,607.00","1,593.00","2.63M","-0.31"
"Oct 16, 2017","1,603.00","1,625.00","1,625.00","1,600.00","2.67M","-1.05"
"Oct 13, 2017","1,620.00","1,660.00","1,660.00","1,615.00","3.51M","-0.92"
"Oct 12, 2017","1,635.00","1,614.00","1,635.00","1,608.00","3.00M","1.55"
"Oct 11, 2017","1,610.00","1,609.00","1,615.00","1,606.10","2.56M","-0.06"
"Oct 10, 2017","1,611.00","1,618.00","1,621.00","1,609.00","2.85M","-0.43"
"Oct 09, 2017","1,618.00","1,620.00","1,623.00","1,611.00","1.71M","-0.19"
"Oct 06, 2017","1,621.00","1,611.00","1,624.00","1,607.00","2.43M","1.00"
"Oct 05, 2017","1,605.00","1,611.00","1,617.00","1,605.00","2.03M","-0.12"
"Oct 04, 2017","1,607.00","1,592.00","1,610.00","1,590.00","2.73M","0.88"
"Oct 03, 2017","1,593.00","1,600.00","1,600.00","1,584.00","2.08M","-0.38"
"Oct 02, 2017","1,599.00","1,594.00","1,599.00","1,585.00","0","1.01"
"Sep 29, 2017","1,583.00","1,584.00","1,591.00","1,576.00","2.97M","0.32"
"Sep 28, 2017","1,578.00","1,574.00","1,580.00","1,566.00","2.23M","0.13"
"Sep 27, 2017","1,576.00","1,585.00","1,585.00","1,568.00","2.61M","-0.38"
"Sep 26, 2017","1,582.00","1,593.00","1,593.00","1,574.00","3.15M","-0.32"
"Sep 25, 2017","1,587.00","1,584.00","1,590.00","1,578.00","2.06M","-0.06"
"Sep 22, 2017","1,588.00","1,569.00","1,604.00","1,566.50","3.32M","1.08"
"Sep 21, 2017","1,571.00","1,572.00","1,598.00","1,557.00","5.51M","-2.54"
"Sep 20, 2017","1,612.00","1,611.00","1,626.00","1,607.00","3.26M","0.06"
"Sep 19, 2017","1,611.00","1,622.00","1,622.00","1,603.00","3.46M","-0.56"
"Sep 18, 2017","1,620.00","1,592.00","1,622.00","1,588.00","3.88M","1.82"
"Sep 15, 2017","1,591.00","1,595.00","1,607.00","1,580.00","5.45M","-0.75"
"Sep 14, 2017","1,603.00","1,633.00","1,644.00","1,602.36","4.80M","-1.90"
"Sep 13, 2017","1,634.00","1,634.00","1,639.00","1,620.00","3.10M","-0.12"
"Sep 12, 2017","1,636.00","1,647.00","1,656.00","1,631.00","2.19M","-0.61"
"Sep 11, 2017","1,646.00","1,647.00","1,654.00","1,639.85","1.38M","0.37"
"Sep 08, 2017","1,640.00","1,635.00","1,643.00","1,624.00","1.86M","-0.18"
"Sep 07, 2017","1,643.00","1,626.00","1,647.00","1,624.00","1.28M","1.11"
"Sep 06, 2017","1,625.00","1,638.00","1,638.00","1,620.00","2.66M","-0.79"
"Sep 05, 2017","1,638.00","1,651.00","1,656.00","1,634.00","1.77M","-0.73"
"Sep 04, 2017","1,650.00","1,642.00","1,655.10","1,642.00","1.69M","0.12"
"Sep 01, 2017","1,648.00","1,661.00","1,666.00","1,647.00","1.57M","-0.24"
"Aug 31, 2017","1,652.00","1,629.00","1,653.00","1,624.12","2.91M","1.66"
"Aug 30, 2017","1,625.00","1,632.00","1,641.00","1,624.00","3.09M","-0.18"
"Aug 29, 2017","1,628.00","1,627.00","1,637.00","1,621.00","2.62M","-0.61"
"Aug 25, 2017","1,638.00","1,643.00","1,645.00","1,635.00","1.16M","-0.30"
"Aug 24, 2017","1,643.00","1,642.00","1,648.00","1,637.00","1.57M","0.24"
"Aug 23, 2017","1,639.00","1,650.00","1,654.00","1,637.00","1.98M","-0.91"
"Aug 22, 2017","1,654.00","1,632.00","1,660.00","1,632.00","2.86M","1.47"
"Aug 21, 2017","1,630.00","1,623.00","1,635.00","1,623.00","1.60M","0.00"
"Aug 18, 2017","1,630.00","1,642.00","1,646.00","1,625.00","2.00M","-1.27"
"Aug 17, 2017","1,651.00","1,665.00","1,670.00","1,649.00","2.57M","-0.96"
"Aug 16, 2017","1,667.00","1,651.00","1,673.00","1,646.00","2.50M","1.21"
"Aug 15, 2017","1,647.00","1,636.00","1,647.25","1,633.00","1.38M","0.86"
"Aug 14, 2017","1,633.00","1,621.00","1,635.03","1,618.00","2.37M","0.86"
"Aug 11, 2017","1,619.00","1,608.00","1,623.00","1,606.00","1.96M","0.31"
"Aug 10, 2017","1,614.00","1,627.00","1,631.00","1,610.00","2.40M","-0.55"
"Aug 09, 2017","1,623.00","1,615.00","1,628.00","1,607.28","2.44M","0.00"
"Aug 08, 2017","1,623.00","1,634.00","1,634.00","1,620.00","2.38M","-0.55"
"Aug 07, 2017","1,632.00","1,633.00","1,641.00","1,623.00","1.75M","0.06"
"Aug 04, 2017","1,631.00","1,617.00","1,640.26","1,604.00","2.35M","0.93"
"Aug 03, 2017","1,616.00","1,609.00","1,622.00","1,594.00","3.32M","0.56"
"Aug 02, 2017","1,607.00","1,624.00","1,628.00","1,607.00","2.58M","-0.68"
"Aug 01, 2017","1,618.00","1,624.00","1,631.00","1,602.00","3.06M","0.06"
"Jul 31, 2017","1,617.00","1,602.00","1,622.00","1,599.75","3.37M","0.81"
"Jul 28, 2017","1,604.00","1,606.00","1,623.45","1,597.00","3.15M","-0.62"
"Jul 27, 2017","1,614.00","1,627.00","1,634.00","1,613.00","3.92M","-0.80"
"Jul 26, 2017","1,627.00","1,605.00","1,647.00","1,605.00","4.59M","1.75"
"Jul 25, 2017","1,599.00","1,590.00","1,604.00","1,583.00","2.99M","0.76"
"Jul 24, 2017","1,587.00","1,604.00","1,606.00","1,581.00","6.22M","-1.43"
"Jul 21, 2017","1,610.00","1,630.00","1,634.00","1,604.08","2.68M","-1.04"
