"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","4,548.00","4,545.00","4,612.00","4,509.00","315.95K","0.22"
"Feb 23, 2018","4,538.00","4,539.00","4,554.00","4,513.00","253.12K","0.00"
"Feb 22, 2018","4,538.00","4,489.00","4,543.00","4,460.00","267.57K","0.33"
"Feb 21, 2018","4,523.00","4,465.00","4,537.00","4,446.00","235.44K","1.28"
"Feb 20, 2018","4,466.00","4,420.00","4,499.00","4,420.00","440.00K","1.27"
"Feb 19, 2018","4,410.00","4,474.00","4,520.00","4,388.00","258.44K","-0.97"
"Feb 16, 2018","4,453.00","4,416.00","4,478.00","4,406.00","339.58K","0.95"
"Feb 15, 2018","4,411.00","4,341.00","4,411.00","4,333.00","413.78K","1.99"
"Feb 14, 2018","4,325.00","4,354.00","4,361.00","4,278.00","369.59K","0.09"
"Feb 13, 2018","4,321.00","4,322.00","4,352.00","4,311.00","237.77K","-0.05"
"Feb 12, 2018","4,323.00","4,323.00","4,342.00","4,299.35","297.04K","1.17"
"Feb 09, 2018","4,273.00","4,316.00","4,359.00","4,267.00","438.50K","-1.16"
"Feb 08, 2018","4,323.00","4,355.00","4,396.00","4,317.00","675.85K","-1.17"
"Feb 07, 2018","4,374.00","4,303.00","4,392.00","4,254.00","565.17K","2.51"
"Feb 06, 2018","4,267.00","4,235.00","4,320.00","4,217.00","789.59K","-1.68"
"Feb 05, 2018","4,340.00","4,318.00","4,364.00","4,281.00","407.43K","-0.32"
"Feb 02, 2018","4,354.00","4,387.00","4,402.00","4,354.00","413.36K","-1.02"
"Feb 01, 2018","4,399.00","4,500.00","4,528.00","4,395.00","446.61K","-1.90"
"Jan 31, 2018","4,484.00","4,500.00","4,533.00","4,476.00","399.42K","-0.04"
"Jan 30, 2018","4,486.00","4,494.00","4,536.07","4,451.00","297.49K","-0.60"
"Jan 29, 2018","4,513.00","4,510.00","4,595.00","4,496.00","434.90K","0.00"
"Jan 26, 2018","4,513.00","4,431.00","4,529.00","4,406.00","374.18K","2.06"
"Jan 25, 2018","4,422.00","4,469.00","4,494.00","4,383.00","653.67K","-1.29"
"Jan 24, 2018","4,480.00","4,602.00","4,603.00","4,480.00","395.00K","-2.55"
"Jan 23, 2018","4,597.00","4,496.00","4,645.00","4,486.00","546.20K","2.86"
"Jan 22, 2018","4,469.00","4,524.00","4,533.00","4,469.00","236.01K","-1.43"
"Jan 19, 2018","4,534.00","4,467.00","4,534.00","4,467.00","651.14K","1.89"
"Jan 18, 2018","4,450.00","4,443.00","4,455.00","4,425.00","300.05K","0.38"
"Jan 17, 2018","4,433.00","4,422.00","4,461.00","4,400.00","310.13K","0.25"
"Jan 16, 2018","4,422.00","4,395.00","4,435.00","4,387.00","314.97K","0.77"
"Jan 15, 2018","4,388.00","4,410.00","4,417.00","4,370.00","384.80K","-0.48"
"Jan 12, 2018","4,409.00","4,436.00","4,458.00","4,388.00","642.75K","-0.61"
"Jan 11, 2018","4,436.00","4,433.00","4,468.00","4,412.00","416.61K","0.00"
"Jan 10, 2018","4,436.00","4,492.00","4,505.00","4,424.00","361.18K","-1.68"
"Jan 09, 2018","4,512.00","4,504.00","4,571.00","4,493.50","362.52K","0.33"
"Jan 08, 2018","4,497.00","4,488.00","4,507.00","4,462.00","300.00K","0.40"
"Jan 05, 2018","4,479.00","4,461.00","4,488.00","4,451.00","314.16K","0.63"
"Jan 04, 2018","4,451.00","4,389.00","4,461.00","4,389.00","337.10K","-0.22"
"Jan 03, 2018","4,461.00","4,396.00","4,476.00","4,396.00","322.72K","1.32"
"Jan 02, 2018","4,403.00","4,428.00","4,428.00","4,377.00","349.22K","-0.47"
"Dec 29, 2017","4,424.00","4,421.00","4,430.00","4,396.00","134.20K","0.43"
"Dec 28, 2017","4,405.00","4,409.00","4,420.00","4,392.00","113.90K","0.20"
"Dec 27, 2017","4,396.00","4,365.00","4,406.00","4,345.00","184.29K","0.76"
"Dec 22, 2017","4,363.00","4,350.00","4,365.00","4,335.00","129.37K","0.00"
"Dec 21, 2017","4,363.00","4,340.00","4,365.00","4,332.00","543.28K","0.30"
"Dec 20, 2017","4,350.00","4,363.00","4,369.00","4,336.00","405.04K","-0.34"
"Dec 19, 2017","4,365.00","4,362.00","4,392.00","4,216.00","304.02K","-0.18"
"Dec 18, 2017","4,373.00","4,332.00","4,397.00","4,332.00","441.65K","0.97"
"Dec 15, 2017","4,331.00","4,293.00","4,332.00","4,284.00","719.68K","0.93"
"Dec 14, 2017","4,291.00","4,256.00","4,322.00","4,216.00","454.22K","0.96"
"Dec 13, 2017","4,250.00","4,250.00","4,322.00","4,215.00","452.05K","-0.05"
"Dec 12, 2017","4,252.00","4,259.00","4,265.00","4,226.00","515.76K","0.02"
"Dec 11, 2017","4,251.00","4,253.00","4,269.50","4,234.00","285.53K","-0.05"
"Dec 08, 2017","4,253.00","4,255.00","4,263.00","4,221.00","337.51K","0.07"
"Dec 07, 2017","4,250.00","4,265.00","4,302.00","4,241.00","353.20K","-0.38"
"Dec 06, 2017","4,266.00","4,306.00","4,316.00","4,261.00","400.12K","-1.16"
"Dec 05, 2017","4,316.00","4,296.00","4,323.00","4,255.00","358.15K","0.91"
"Dec 04, 2017","4,277.00","4,268.00","4,310.00","4,249.00","475.26K","0.97"
"Dec 01, 2017","4,236.00","4,268.00","4,297.00","4,231.00","324.76K","-0.87"
"Nov 30, 2017","4,273.00","4,279.00","4,291.00","4,239.00","660.86K","-0.54"
"Nov 29, 2017","4,296.00","4,349.00","4,367.00","4,252.00","450.31K","-1.63"
"Nov 28, 2017","4,367.00","4,305.00","4,367.00","4,281.00","314.92K","1.61"
"Nov 27, 2017","4,298.00","4,289.00","4,319.00","4,277.00","262.63K","-0.12"
"Nov 24, 2017","4,303.00","4,295.00","4,315.00","4,263.00","287.83K","0.23"
"Nov 23, 2017","4,293.00","4,261.00","4,300.00","4,244.00","151.83K","0.42"
"Nov 22, 2017","4,275.00","4,314.00","4,332.00","4,259.00","262.34K","-1.04"
