"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","2,473.00","2,473.00","2,490.00","2,455.01","1.05M","0.28"
"Feb 23, 2018","2,466.00","2,489.00","2,495.00","2,459.00","633.57K","-0.92"
"Feb 22, 2018","2,489.00","2,468.00","2,497.00","2,452.00","953.61K","-0.08"
"Feb 21, 2018","2,491.00","2,500.00","2,504.00","2,471.00","1.06M","-0.36"
"Feb 20, 2018","2,500.00","2,470.00","2,515.00","2,459.00","1.37M","1.71"
"Feb 19, 2018","2,458.00","2,479.00","2,488.00","2,450.00","597.58K","-0.97"
"Feb 16, 2018","2,482.00","2,515.00","2,528.00","2,482.00","1.71M","-0.28"
"Feb 15, 2018","2,489.00","2,446.00","2,492.00","2,441.00","2.53M","2.55"
"Feb 14, 2018","2,427.00","2,476.00","2,485.00","2,402.00","1.72M","-1.30"
"Feb 13, 2018","2,459.00","2,412.00","2,470.00","2,389.84","2.52M","1.28"
"Feb 12, 2018","2,428.00","2,428.00","2,436.00","2,406.00","1.87M","2.02"
"Feb 09, 2018","2,380.00","2,379.00","2,453.20","2,354.00","2.19M","-0.67"
"Feb 08, 2018","2,396.00","2,465.00","2,478.00","2,394.00","2.38M","-3.81"
"Feb 07, 2018","2,491.00","2,500.00","2,505.00","2,434.84","2.20M","1.63"
"Feb 06, 2018","2,451.00","2,406.00","2,510.00","2,397.00","3.20M","-1.80"
"Feb 05, 2018","2,496.00","2,503.00","2,524.00","2,491.00","1.86M","-1.81"
"Feb 02, 2018","2,542.00","2,570.00","2,573.00","2,529.00","1.76M","-1.28"
"Feb 01, 2018","2,575.00","2,627.00","2,694.00","2,559.00","1.80M","-1.42"
"Jan 31, 2018","2,612.00","2,687.00","2,687.00","2,610.00","2.50M","-2.25"
"Jan 30, 2018","2,672.00","2,687.00","2,701.00","2,666.00","1.31M","-1.55"
"Jan 29, 2018","2,714.00","2,732.00","2,745.24","2,711.00","1.45M","-0.40"
"Jan 26, 2018","2,725.00","2,723.00","2,732.00","2,696.00","1.87M","1.57"
"Jan 25, 2018","2,683.00","2,695.00","2,726.00","2,666.00","1.75M","-0.56"
"Jan 24, 2018","2,698.00","2,762.00","2,772.00","2,698.00","1.83M","-2.60"
"Jan 23, 2018","2,770.00","2,731.00","2,773.00","2,715.00","3.26M","1.99"
"Jan 22, 2018","2,716.00","2,684.00","2,716.00","2,673.00","2.70M","1.23"
"Jan 19, 2018","2,683.00","2,615.00","2,683.00","2,610.00","2.32M","2.25"
"Jan 18, 2018","2,624.00","2,680.00","2,680.00","2,618.00","1.14M","-1.39"
"Jan 17, 2018","2,661.00","2,690.00","2,690.00","2,656.00","1.15M","-0.71"
"Jan 16, 2018","2,680.00","2,702.00","2,704.00","2,665.00","1.93M","-0.48"
"Jan 15, 2018","2,693.00","2,699.00","2,709.00","2,677.00","845.00K","-0.41"
"Jan 12, 2018","2,704.00","2,720.00","2,725.00","2,693.00","1.48M","-0.07"
"Jan 11, 2018","2,706.00","2,759.00","2,799.00","2,705.00","1.06M","-1.56"
"Jan 10, 2018","2,749.00","2,764.00","2,764.00","2,730.00","1.45M","-0.54"
