"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","6,815.0","6,770.0","6,825.0","6,725.5","219.81K","0.81"
"Feb 23, 2018","6,760.0","6,695.0","6,790.0","6,635.0","262.33K","1.50"
"Feb 22, 2018","6,660.0","6,630.0","6,690.0","6,590.0","340.42K","-0.15"
"Feb 21, 2018","6,670.0","6,690.0","6,690.0","6,545.0","286.58K","-0.22"
"Feb 20, 2018","6,685.0","6,670.0","6,715.0","6,555.0","297.03K","0.38"
"Feb 19, 2018","6,660.0","6,720.0","6,725.0","6,620.0","339.02K","-0.67"
"Feb 16, 2018","6,705.0","6,725.0","6,774.9","6,705.0","186.19K","0.22"
"Feb 15, 2018","6,690.0","6,855.0","6,855.0","6,615.0","250.94K","-1.62"
"Feb 14, 2018","6,800.0","6,855.0","6,865.0","6,730.0","224.11K","0.07"
"Feb 13, 2018","6,795.0","6,900.0","6,935.0","6,795.0","450.18K","-1.52"
"Feb 12, 2018","6,900.0","6,820.0","6,960.0","6,790.0","554.22K","2.68"
"Feb 09, 2018","6,720.0","6,695.0","6,830.0","6,680.0","265.69K","-0.30"
"Feb 08, 2018","6,740.0","7,020.0","7,035.0","6,740.0","402.83K","-4.73"
"Feb 07, 2018","7,075.0","7,060.0","7,110.0","6,930.0","615.40K","1.07"
"Feb 06, 2018","7,000.0","6,970.0","7,075.0","6,905.0","258.07K","-2.17"
"Feb 05, 2018","7,155.0","7,290.0","7,290.0","7,155.0","191.26K","-2.59"
"Feb 02, 2018","7,345.0","7,400.0","7,425.0","7,345.0","110.36K","-0.47"
"Feb 01, 2018","7,380.0","7,450.0","7,465.0","7,370.0","148.04K","-0.34"
"Jan 31, 2018","7,405.0","7,530.0","7,555.0","7,395.0","195.84K","-1.33"
"Jan 30, 2018","7,505.0","7,515.0","7,555.0","7,475.0","139.09K","-0.13"
"Jan 29, 2018","7,515.0","7,565.0","7,580.0","7,510.0","93.80K","-0.60"
"Jan 26, 2018","7,560.0","7,500.0","7,588.8","7,455.0","107.71K","1.14"
"Jan 25, 2018","7,475.0","7,500.0","7,575.0","7,455.0","166.54K","-0.53"
"Jan 24, 2018","7,515.0","7,540.0","7,595.0","7,510.0","248.00K","-0.73"
"Jan 23, 2018","7,570.0","7,485.0","7,580.0","7,465.0","180.61K","1.54"
"Jan 22, 2018","7,455.0","7,580.0","7,590.0","7,450.0","203.72K","-1.19"
"Jan 19, 2018","7,545.0","7,640.0","7,640.0","7,535.0","339.92K","-1.18"
"Jan 18, 2018","7,635.0","7,625.0","7,665.0","7,600.0","124.70K","0.53"
"Jan 17, 2018","7,595.0","7,700.0","7,700.0","7,572.5","239.22K","-1.24"
"Jan 16, 2018","7,690.0","7,705.0","7,725.0","7,660.0","177.15K","0.13"
"Jan 15, 2018","7,680.0","7,720.0","7,760.0","7,680.0","109.73K","-0.26"
