"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","2,490.14","2,486.50","2,516.90","2,476.50","349.84K","0.51"
"Feb 23, 2018","2,477.50","2,470.50","2,496.40","2,444.38","3.99M","0.41"
"Feb 22, 2018","2,467.50","2,455.50","2,490.23","2,447.00","4.29M","-1.16"
"Feb 21, 2018","2,496.50","2,485.50","2,502.00","2,481.00","3.73M","0.14"
"Feb 20, 2018","2,493.00","2,499.50","2,508.00","2,484.00","5.08M","-0.04"
"Feb 19, 2018","2,494.00","2,499.50","2,503.50","2,485.50","2.99M","-0.44"
"Feb 16, 2018","2,505.00","2,484.50","2,511.50","2,478.00","3.78M","1.19"
"Feb 15, 2018","2,475.50","2,469.50","2,481.50","2,458.50","4.08M","0.08"
"Feb 14, 2018","2,473.50","2,473.00","2,490.50","2,466.50","6.06M","0.45"
"Feb 13, 2018","2,462.50","2,456.50","2,479.50","2,455.70","4.46M","0.04"
"Feb 12, 2018","2,461.50","2,452.00","2,475.00","2,436.00","4.28M","0.98"
"Feb 09, 2018","2,437.50","2,438.00","2,470.00","2,433.50","5.91M","-0.33"
"Feb 08, 2018","2,445.50","2,446.00","2,468.50","2,434.00","6.59M","-0.85"
"Feb 07, 2018","2,466.50","2,429.50","2,480.50","2,415.50","5.62M","2.45"
"Feb 06, 2018","2,407.50","2,411.00","2,449.50","2,379.00","7.11M","-2.73"
"Feb 05, 2018","2,475.00","2,493.50","2,502.50","2,475.00","6.38M","-1.53"
"Feb 02, 2018","2,513.50","2,508.50","2,525.00","2,507.00","3.36M","-0.26"
"Feb 01, 2018","2,520.00","2,550.50","2,558.00","2,507.00","3.77M","-0.49"
"Jan 31, 2018","2,532.50","2,536.50","2,539.00","2,524.00","5.78M","0.22"
"Jan 30, 2018","2,527.00","2,526.00","2,541.50","2,515.00","4.35M","-0.10"
"Jan 29, 2018","2,529.50","2,537.00","2,558.00","2,511.00","6.48M","-1.15"
"Jan 26, 2018","2,559.00","2,550.50","2,568.00","2,537.00","5.04M","0.87"
"Jan 25, 2018","2,537.00","2,580.00","2,600.00","2,534.00","5.64M","-0.22"
"Jan 24, 2018","2,542.50","2,590.00","2,590.66","2,542.50","5.99M","-2.36"
"Jan 23, 2018","2,604.00","2,606.50","2,623.00","2,595.00","3.62M","0.46"
"Jan 22, 2018","2,592.00","2,612.00","2,622.50","2,588.00","3.53M","-1.13"
"Jan 19, 2018","2,621.50","2,620.00","2,635.50","2,607.50","4.29M","0.10"
"Jan 18, 2018","2,619.00","2,630.00","2,635.50","2,598.50","3.71M","0.04"
"Jan 17, 2018","2,618.00","2,584.50","2,622.33","2,584.50","3.65M","0.63"
"Jan 16, 2018","2,601.50","2,622.00","2,637.50","2,595.50","5.24M","-0.71"
"Jan 15, 2018","2,620.00","2,626.00","2,635.50","2,620.00","3.54M","-0.80"
"Jan 12, 2018","2,641.00","2,651.00","2,666.00","2,640.50","3.99M","-0.73"
"Jan 11, 2018","2,660.50","2,644.00","2,669.00","2,643.00","4.76M","0.43"
"Jan 10, 2018","2,649.00","2,655.00","2,669.50","2,633.00","5.15M","-0.41"
"Jan 09, 2018","2,660.00","2,666.50","2,684.50","2,658.50","3.98M","-0.28"
"Jan 08, 2018","2,667.50","2,664.00","2,679.50","2,659.50","3.31M","-0.17"
"Jan 05, 2018","2,672.00","2,675.00","2,686.00","2,667.00","4.32M","-0.07"
"Jan 04, 2018","2,674.00","2,684.50","2,693.50","2,667.50","3.90M","-0.47"
"Jan 03, 2018","2,686.50","2,674.00","2,696.00","2,646.50","3.72M","0.32"
"Jan 02, 2018","2,678.00","2,730.00","2,735.50","2,673.00","4.12M","-1.72"
"Dec 29, 2017","2,725.00","2,687.50","2,729.00","2,675.50","1.90M","1.13"
