"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","388.60","388.00","392.20","388.00","4.13M","0.10"
"Feb 23, 2018","388.20","392.00","392.20","385.60","3.53M","-0.69"
"Feb 22, 2018","390.90","389.30","393.00","387.00","4.90M","0.26"
"Feb 21, 2018","389.90","388.00","390.50","386.50","3.14M","0.49"
"Feb 20, 2018","388.00","387.60","390.10","386.40","3.57M","0.67"
"Feb 19, 2018","385.40","386.10","387.90","383.70","2.89M","-0.10"
"Feb 16, 2018","385.80","385.80","387.70","383.40","3.09M","0.29"
"Feb 15, 2018","384.70","386.90","389.00","383.90","4.12M","-0.26"
"Feb 14, 2018","385.70","387.80","388.71","385.60","4.17M","-0.03"
"Feb 13, 2018","385.80","381.20","386.20","381.10","4.91M","1.07"
"Feb 12, 2018","381.70","382.40","384.60","380.00","6.94M","0.85"
"Feb 09, 2018","378.50","366.80","382.00","363.50","16.66M","2.71"
"Feb 08, 2018","368.50","369.50","375.30","367.30","7.29M","-0.83"
"Feb 07, 2018","371.60","365.80","373.00","361.76","7.03M","2.57"
"Feb 06, 2018","362.30","365.70","366.50","362.30","6.87M","-2.53"
"Feb 05, 2018","371.70","372.10","373.90","370.10","4.05M","-0.85"
"Feb 02, 2018","374.90","371.80","375.20","371.40","3.64M","0.94"
"Feb 01, 2018","371.40","370.90","373.80","366.80","3.83M","0.57"
"Jan 31, 2018","369.30","373.90","373.90","366.90","3.97M","-0.89"
"Jan 30, 2018","372.60","373.90","375.40","370.30","2.75M","-0.85"
"Jan 29, 2018","375.80","375.90","379.00","374.40","3.05M","0.21"
"Jan 26, 2018","375.00","375.90","378.20","373.80","3.18M","0.00"
"Jan 25, 2018","375.00","370.10","375.40","369.60","3.79M","1.32"
"Jan 24, 2018","370.10","368.60","373.90","368.50","5.91M","0.71"
"Jan 23, 2018","367.50","374.10","374.10","366.20","3.88M","-1.53"
"Jan 22, 2018","373.20","372.30","374.90","369.80","7.95M","-0.05"
"Jan 19, 2018","373.40","373.30","376.95","372.90","4.70M","0.03"
"Jan 18, 2018","373.30","372.30","374.80","368.70","5.05M","0.30"
"Jan 17, 2018","372.20","371.70","373.90","369.10","2.74M","0.84"
"Jan 16, 2018","369.10","370.00","371.00","367.80","2.77M","0.03"
"Jan 15, 2018","369.00","370.20","372.70","369.00","1.50M","-0.54"
"Jan 12, 2018","371.00","376.50","377.10","370.40","3.30M","-1.41"
"Jan 11, 2018","376.30","374.70","377.30","372.50","2.90M","0.43"
"Jan 10, 2018","374.70","373.20","376.60","371.30","3.33M","0.46"
"Jan 09, 2018","373.00","368.70","373.10","367.70","2.49M","1.52"
