"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","425.90","437.50","442.00","424.70","2.56M","-1.46"
"Feb 23, 2018","432.20","433.40","437.30","428.70","2.00M","-0.32"
"Feb 22, 2018","433.60","422.60","434.90","415.40","2.66M","1.40"
"Feb 21, 2018","427.60","430.60","433.50","425.60","3.07M","-1.18"
"Feb 20, 2018","432.70","415.70","435.00","414.90","4.53M","5.02"
"Feb 19, 2018","412.00","393.70","414.20","393.10","2.31M","4.41"
"Feb 16, 2018","394.60","386.70","397.10","382.80","3.00M","2.89"
"Feb 15, 2018","383.50","382.70","389.10","380.70","3.36M","2.18"
"Feb 14, 2018","375.30","366.30","378.10","359.40","3.42M","4.08"
"Feb 13, 2018","360.60","358.20","364.10","353.54","3.19M","2.36"
"Feb 12, 2018","352.30","342.00","357.30","342.00","4.11M","5.76"
"Feb 09, 2018","333.10","331.20","337.10","330.50","4.08M","-1.10"
"Feb 08, 2018","336.80","350.30","351.10","335.80","3.30M","-5.10"
"Feb 07, 2018","354.90","356.50","359.80","348.70","3.01M","0.74"
"Feb 06, 2018","352.30","351.20","363.10","344.10","4.25M","-4.08"
"Feb 05, 2018","367.30","360.70","369.80","356.30","2.49M","0.77"
"Feb 02, 2018","364.50","380.00","382.10","362.30","3.63M","-3.85"
"Feb 01, 2018","379.10","373.00","384.50","372.90","2.09M","1.99"
"Jan 31, 2018","371.70","378.80","379.40","371.70","2.95M","-1.25"
"Jan 30, 2018","376.40","380.60","382.00","375.60","2.08M","-2.23"
"Jan 29, 2018","385.00","386.30","388.18","383.00","2.67M","0.34"
"Jan 26, 2018","383.70","376.50","385.50","374.60","2.56M","1.67"
"Jan 25, 2018","377.40","374.70","383.40","372.20","2.41M","0.77"
"Jan 24, 2018","374.50","379.20","380.50","374.50","2.55M","-1.40"
"Jan 23, 2018","379.80","397.20","397.90","379.52","2.94M","-3.95"
"Jan 22, 2018","395.40","392.00","401.30","388.92","4.55M","0.66"
"Jan 19, 2018","392.80","389.70","397.00","386.80","8.15M","1.13"
"Jan 18, 2018","388.40","371.60","388.90","367.40","4.11M","4.10"
"Jan 17, 2018","373.10","372.10","375.10","364.20","3.94M","-0.21"
"Jan 16, 2018","373.90","372.80","377.40","372.40","4.82M","-0.64"
"Jan 15, 2018","376.30","376.50","379.30","373.80","2.51M","0.35"
"Jan 12, 2018","375.00","384.50","388.40","375.00","13.23M","-2.06"
"Jan 11, 2018","382.90","375.70","390.30","371.30","4.37M","2.11"
"Jan 10, 2018","375.00","379.90","381.10","374.70","3.62M","-1.00"
"Jan 09, 2018","378.80","373.50","381.90","373.50","4.16M","2.07"
"Jan 08, 2018","371.10","372.50","380.20","369.70","2.60M","-0.03"
"Jan 05, 2018","371.20","370.90","373.60","366.40","2.39M","0.32"
"Jan 04, 2018","370.00","362.30","374.00","360.90","2.27M","2.78"
"Jan 03, 2018","360.00","352.30","367.80","351.00","3.70M","1.49"
