"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2018","944.40","940.00","947.80","930.00","961.76K","0.79"
"Feb 23, 2018","937.00","937.20","942.80","930.60","1.87M","0.02"
"Feb 22, 2018","936.80","925.60","937.40","923.20","2.52M","0.71"
"Feb 21, 2018","930.20","914.40","931.20","899.40","2.90M","1.42"
"Feb 20, 2018","917.20","904.40","917.20","901.60","1.63M","1.93"
"Feb 19, 2018","899.80","907.40","907.80","899.20","940.39K","-0.57"
"Feb 16, 2018","905.00","898.40","910.40","898.40","1.96M","1.28"
"Feb 15, 2018","893.60","895.20","902.00","884.40","1.78M","0.29"
"Feb 14, 2018","891.00","896.20","915.20","881.80","2.03M","0.36"
"Feb 13, 2018","887.80","887.80","898.60","887.40","1.68M","-0.27"
"Feb 12, 2018","890.20","899.60","907.40","885.60","2.04M","0.20"
"Feb 09, 2018","888.40","909.00","916.40","880.60","3.59M","-2.69"
"Feb 08, 2018","913.00","928.60","936.40","909.80","3.22M","-2.42"
"Feb 07, 2018","935.60","903.60","936.60","897.45","2.94M","4.47"
"Feb 06, 2018","895.60","897.60","913.00","881.40","3.59M","-3.84"
"Feb 05, 2018","931.40","941.00","941.00","922.80","2.52M","-1.90"
"Feb 02, 2018","949.40","952.80","954.40","942.20","2.45M","-0.21"
"Feb 01, 2018","951.40","944.00","968.00","938.80","3.17M","2.15"
"Jan 31, 2018","931.40","939.80","941.00","928.80","2.93M","-0.39"
"Jan 30, 2018","935.00","932.00","937.00","922.40","2.29M","-0.55"
"Jan 29, 2018","940.20","927.40","940.60","925.80","2.65M","1.08"
"Jan 26, 2018","930.20","909.40","930.20","907.83","2.02M","2.38"
"Jan 25, 2018","908.60","921.60","926.14","907.20","1.77M","-1.77"
"Jan 24, 2018","925.00","922.20","934.60","921.07","2.13M","0.50"
"Jan 23, 2018","920.40","925.20","925.20","910.00","1.89M","-0.11"
"Jan 22, 2018","921.40","934.00","935.60","918.20","5.79M","-1.35"
"Jan 19, 2018","934.00","944.20","946.20","932.00","1.75M","-0.79"
"Jan 18, 2018","941.40","954.20","955.40","927.40","1.90M","-0.91"
"Jan 17, 2018","950.00","951.60","956.00","946.20","1.56M","0.11"
"Jan 16, 2018","949.00","942.40","953.80","941.40","1.98M","0.89"
"Jan 15, 2018","940.60","952.60","956.00","937.00","1.40M","-1.05"
"Jan 12, 2018","950.60","949.40","956.20","947.20","1.60M","0.17"
"Jan 11, 2018","949.00","944.40","956.40","943.80","2.21M","0.27"
"Jan 10, 2018","946.40","924.40","954.60","922.40","3.04M","3.00"
"Jan 09, 2018","918.80","922.00","926.40","913.60","1.91M","-0.15"
"Jan 08, 2018","920.20","946.60","946.60","918.20","1.94M","-2.50"
"Jan 05, 2018","943.80","936.00","943.80","935.60","1.61M","1.07"
"Jan 04, 2018","933.80","928.80","934.20","921.40","1.74M","1.21"
